experiment_name,backend,precision,result_tag
burgers_deeponet_small,eager,fp32,burgers_deeponet_small_eager_fp32
burgers_deeponet_small,torchscript,fp32,burgers_deeponet_small_torchscript_fp32
burgers_deeponet_base,eager,fp32,burgers_deeponet_base_eager_fp32
burgers_deeponet_base,torchscript,fp32,burgers_deeponet_base_torchscript_fp32
burgers_deeponet_large,eager,fp32,burgers_deeponet_large_eager_fp32
burgers_deeponet_large,torchscript,fp32,burgers_deeponet_large_torchscript_fp32
darcy_deeponet_small,eager,fp32,darcy_deeponet_small_eager_fp32
darcy_deeponet_small,torchscript,fp32,darcy_deeponet_small_torchscript_fp32
darcy_deeponet_base,eager,fp32,darcy_deeponet_base_eager_fp32
darcy_deeponet_base,torchscript,fp32,darcy_deeponet_base_torchscript_fp32
darcy_deeponet_large,eager,fp32,darcy_deeponet_large_eager_fp32
darcy_deeponet_large,torchscript,fp32,darcy_deeponet_large_torchscript_fp32
burgers_deeponet_base_r512,eager,fp32,burgers_deeponet_base_r512_eager_fp32
burgers_deeponet_base_r512,torchscript,fp32,burgers_deeponet_base_r512_torchscript_fp32
burgers_deeponet_base_r1024,eager,fp32,burgers_deeponet_base_r1024_eager_fp32
burgers_deeponet_base_r1024,torchscript,fp32,burgers_deeponet_base_r1024_torchscript_fp32
burgers_deeponet_base_r2048,eager,fp32,burgers_deeponet_base_r2048_eager_fp32
burgers_deeponet_base_r2048,torchscript,fp32,burgers_deeponet_base_r2048_torchscript_fp32
burgers_deeponet_base_r4096,eager,fp32,burgers_deeponet_base_r4096_eager_fp32
burgers_deeponet_base_r4096,torchscript,fp32,burgers_deeponet_base_r4096_torchscript_fp32
darcy_deeponet_base_r85,eager,fp32,darcy_deeponet_base_r85_eager_fp32
darcy_deeponet_base_r85,torchscript,fp32,darcy_deeponet_base_r85_torchscript_fp32
darcy_deeponet_base_r141,eager,fp32,darcy_deeponet_base_r141_eager_fp32
darcy_deeponet_base_r141,torchscript,fp32,darcy_deeponet_base_r141_torchscript_fp32
darcy_deeponet_base_r211,eager,fp32,darcy_deeponet_base_r211_eager_fp32
darcy_deeponet_base_r211,torchscript,fp32,darcy_deeponet_base_r211_torchscript_fp32
darcy_deeponet_base_r281,eager,fp32,darcy_deeponet_base_r281_eager_fp32
darcy_deeponet_base_r281,torchscript,fp32,darcy_deeponet_base_r281_torchscript_fp32
