experiment_name,backend,precision,result_tag
burgers_deeponet_base_r4096,torchscript,fp32_strict,burgers_deeponet_base_r4096_torchscript_fp32_strict_120s
burgers_deeponet_base_r4096,torchscript,tf32,burgers_deeponet_base_r4096_torchscript_tf32_120s
burgers_deeponet_base_r4096,torchscript,bf16_autocast,burgers_deeponet_base_r4096_torchscript_bf16_autocast_120s
burgers_deeponet_base_r4096,torchscript,fp16_autocast,burgers_deeponet_base_r4096_torchscript_fp16_autocast_120s
burgers_deeponet_base_r4096,torchscript,fp16_native,burgers_deeponet_base_r4096_torchscript_fp16_native_120s
burgers_deeponet_base_r8192,torchscript,fp32_strict,burgers_deeponet_base_r8192_torchscript_fp32_strict_120s
burgers_deeponet_base_r8192,torchscript,tf32,burgers_deeponet_base_r8192_torchscript_tf32_120s
burgers_deeponet_base_r8192,torchscript,bf16_autocast,burgers_deeponet_base_r8192_torchscript_bf16_autocast_120s
burgers_deeponet_base_r8192,torchscript,fp16_autocast,burgers_deeponet_base_r8192_torchscript_fp16_autocast_120s
burgers_deeponet_base_r8192,torchscript,fp16_native,burgers_deeponet_base_r8192_torchscript_fp16_native_120s
darcy_deeponet_base_r421,torchscript,fp32_strict,darcy_deeponet_base_r421_torchscript_fp32_strict_120s
darcy_deeponet_base_r421,torchscript,tf32,darcy_deeponet_base_r421_torchscript_tf32_120s
darcy_deeponet_base_r421,torchscript,bf16_autocast,darcy_deeponet_base_r421_torchscript_bf16_autocast_120s
darcy_deeponet_base_r421,torchscript,fp16_autocast,darcy_deeponet_base_r421_torchscript_fp16_autocast_120s
darcy_deeponet_base_r421,torchscript,fp16_native,darcy_deeponet_base_r421_torchscript_fp16_native_120s
