case,case_label,selection_rank,kernel_short,kernel_full,class,ms,sm_pct,mem_pct,l2_hit_pct,occ_pct,eligible,invocations,selection_reason
burgers_base_r2048_ts_fp32,Burgers base @2048,1,ampere_sgemm_64x64_tn,ampere_sgemm_64x64_tn,Dense/GEMM,0.255088,69.44,70.77,86.23,31.36,,2,top-duration+class-representative+high-memory-throughput
burgers_base_r2048_ts_fp32,Burgers base @2048,2,ampere_sgemm_32x128_tn,ampere_sgemm_32x128_tn,Dense/GEMM,0.161024,66.81,84.74,88.76,62.86,,1,class-representative+high-memory-throughput
burgers_base_r2048_ts_fp32,Burgers base @2048,3,"at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, a...","void at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], detail::Array<char *, 2>>(int, T2, T3)",Activation/elementwise,0.04944,36.55,70.27,49.96,95.72,,3,class-representative+high-memory-throughput+low-L2-hit
burgers_base_r2048_ts_fp32,Burgers base @2048,4,"at::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::<unnamed>::OpaqueType<4>, unsig...","void at::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::<unnamed>::OpaqueType<4>, unsigned int, 3, 128, 1>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",Move/materialization,0.00816,3.2,7.78,63.09,12.26,,1,class-representative
darcy_base_r141_ts_fp32,Darcy base @141x141,1,ampere_sgemm_128x64_tn,ampere_sgemm_128x64_tn,Dense/GEMM,2.04693,75.35,67.04,92.21,33.01,,3,top-duration+class-representative+high-memory-throughput
darcy_base_r141_ts_fp32,Darcy base @141x141,2,ampere_sgemm_128x32_tn,ampere_sgemm_128x32_tn,Dense/GEMM,0.378624,59.03,58,99.31,64,,1,class-representative
darcy_base_r141_ts_fp32,Darcy base @141x141,3,"at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, a...","void at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], detail::Array<char *, 2>>(int, T2, T3)",Activation/elementwise,0.431861,36.3,77.49,50,90.5,,3,class-representative+high-memory-throughput+low-L2-hit
darcy_base_r141_ts_fp32,Darcy base @141x141,4,"at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<4>, unsigned int, 4, 64, 6...","void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<4>, unsigned int, 4, 64, 64>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",Move/materialization,0.020864,42.42,37.44,89.24,110.53,,1,class-representative
darcy_base_r281_ts_fp32,Darcy base @281x281,1,ampere_sgemm_128x64_tn,ampere_sgemm_128x64_tn,Dense/GEMM,4.53068,75.83,66.25,96.24,33.07,,4,top-duration+class-representative+high-memory-throughput
darcy_base_r281_ts_fp32,Darcy base @281x281,2,ampere_sgemm_128x32_tn,ampere_sgemm_128x32_tn,Dense/GEMM,0.564848,67.33,68.59,99.35,67.36,,2,class-representative+high-memory-throughput
darcy_base_r281_ts_fp32,Darcy base @281x281,3,"at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, a...","void at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], detail::Array<char *, 2>>(int, T2, T3)",Activation/elementwise,0.710864,36.75,77.61,50,90.02,,6,class-representative+high-memory-throughput+low-L2-hit
darcy_base_r281_ts_fp32,Darcy base @281x281,4,"at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<4>, unsigned int, 4, 64, 6...","void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<4>, unsigned int, 4, 64, 64>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",Move/materialization,0.045472,56.19,67.36,89.86,95.79,,1,class-representative+high-memory-throughput
darcy_base_r281_ts_fp32,Darcy base @281x281,5,"at::<unnamed>::upsample_bilinear2d_out_frame<float, float>(int, T2, T2, bool, at::Gener...","void at::<unnamed>::upsample_bilinear2d_out_frame<float, float>(int, T2, T2, bool, at::GenericPackedTensorAccessor<const T1, 4, at::DefaultPtrTraits, long>, at::GenericPackedTensorAccessor<T1, 4, at::DefaultPtrTraits, long>)",Other,0.016704,9.54,39.14,27.79,71.15,,1,low-L2-hit
darcy_base_r281_ts_fp16_native,Darcy base @281x281 FP16,1,ampere_fp16_s16816gemm_fp16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_fp16_s16816gemm_fp16_128x128_ldg8_relu_f2f_stages_32x5_tn,Dense/GEMM,0.555408,51.88,77.48,89.9,17.5,,4,top-duration+class-representative+high-memory-throughput
darcy_base_r281_ts_fp16_native,Darcy base @281x281 FP16,2,ampere_fp16_sgemm_fp16_128x64_tn,ampere_fp16_sgemm_fp16_128x64_tn,Dense/GEMM,0.411008,59.26,67.28,99.49,32.94,,2,class-representative+high-memory-throughput
darcy_base_r281_ts_fp16_native,Darcy base @281x281 FP16,3,"at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, a...","void at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(c10::Half) (instance 1)], detail::Array<char *, 2>>(int, T2, T3)",Activation/elementwise,0.456277,63.06,60.46,50,94,,6,class-representative+high-memory-throughput+low-L2-hit
