result_tag,status,failure_class,mode,precision,checkpoint,torchscript,input_bank,batch_size,num_warmup,num_iters,mean_ms,median_ms,p95_ms,p99_ms,peak_cuda_allocated_mb,json
burgers_deeponet_base_eager_bf16_autocast,success,,eager,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,2.9701046645641327,2.9501221142709255,3.095535095781088,3.5595190711319447,13.759765625,results/jetson_deeponet_precision/burgers_deeponet_base_eager_bf16_autocast.json
burgers_deeponet_base_eager_fp16_autocast,success,,eager,fp16_autocast,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,3.0077090952545404,2.9849230777472258,3.080589696764946,3.5727680660784245,13.759765625,results/jetson_deeponet_precision/burgers_deeponet_base_eager_fp16_autocast.json
burgers_deeponet_base_eager_fp16_native,success,,eager,fp16_native,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,2.4902493692934513,2.4763448163866997,2.5744279846549034,3.066638018935919,12.04345703125,results/jetson_deeponet_precision/burgers_deeponet_base_eager_fp16_native.json
burgers_deeponet_base_eager_fp32_strict,success,,eager,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,2.6560672651976347,2.5831488892436028,3.0483659356832504,4.262841306626797,14.9423828125,results/jetson_deeponet_precision/burgers_deeponet_base_eager_fp32_strict.json
burgers_deeponet_base_eager_tf32,success,,eager,tf32,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,2.5066345930099487,2.4864731822162867,2.6505598798394203,2.9914039187133312,14.9423828125,results/jetson_deeponet_precision/burgers_deeponet_base_eager_tf32.json
burgers_deeponet_base_r1024_eager_bf16_autocast,success,,eager,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_r1024_seed1_best.pt,,artifacts/benchmark_inputs/burgers_r1024_bank.pt,1,20,50,3.0434574000537395,3.0344740953296423,3.1027961522340775,3.6222380585968494,12.357421875,results/jetson_deeponet_precision/burgers_deeponet_base_r1024_eager_bf16_autocast.json
burgers_deeponet_base_r1024_eager_fp16_autocast,success,,eager,fp16_autocast,artifacts/checkpoints/burgers_deeponet_base_r1024_seed1_best.pt,,artifacts/benchmark_inputs/burgers_r1024_bank.pt,1,20,50,3.1227637734264135,3.1083805952221155,3.217265009880066,3.712768666446209,12.357421875,results/jetson_deeponet_precision/burgers_deeponet_base_r1024_eager_fp16_autocast.json
burgers_deeponet_base_r1024_eager_fp16_native,success,,eager,fp16_native,artifacts/checkpoints/burgers_deeponet_base_r1024_seed1_best.pt,,artifacts/benchmark_inputs/burgers_r1024_bank.pt,1,20,50,2.62783769518137,2.571305725723505,2.7491203509271145,4.808295983821154,10.90087890625,results/jetson_deeponet_precision/burgers_deeponet_base_r1024_eager_fp16_native.json
burgers_deeponet_base_r1024_eager_fp32_strict,success,,eager,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_r1024_seed1_best.pt,,artifacts/benchmark_inputs/burgers_r1024_bank.pt,1,20,50,2.391257295385003,2.374450908973813,2.531415782868862,2.8685801662504673,12.6650390625,results/jetson_deeponet_precision/burgers_deeponet_base_r1024_eager_fp32_strict.json
burgers_deeponet_base_r1024_eager_tf32,success,,eager,tf32,artifacts/checkpoints/burgers_deeponet_base_r1024_seed1_best.pt,,artifacts/benchmark_inputs/burgers_r1024_bank.pt,1,20,50,2.4612687714397907,2.4163085035979748,2.694109920412302,2.9740557074546814,12.6650390625,results/jetson_deeponet_precision/burgers_deeponet_base_r1024_eager_tf32.json
burgers_deeponet_base_r1024_torchscript_bf16_autocast,success,,torchscript,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_r1024_seed1_best.pt,artifacts/torchscript/burgers_deeponet_base_r1024_seed1.ts,artifacts/benchmark_inputs/burgers_r1024_bank.pt,1,20,50,2.0500438287854195,2.028918359428644,2.175500150769949,2.4496852420270443,11.78271484375,results/jetson_deeponet_precision/burgers_deeponet_base_r1024_torchscript_bf16_autocast.json
burgers_deeponet_base_r1024_torchscript_fp16_autocast,success,,torchscript,fp16_autocast,artifacts/checkpoints/burgers_deeponet_base_r1024_seed1_best.pt,artifacts/torchscript/burgers_deeponet_base_r1024_seed1.ts,artifacts/benchmark_inputs/burgers_r1024_bank.pt,1,20,50,1.771648982539773,1.7532450146973133,1.9425628706812859,2.2535184398293495,11.78271484375,results/jetson_deeponet_precision/burgers_deeponet_base_r1024_torchscript_fp16_autocast.json
burgers_deeponet_base_r1024_torchscript_fp16_native,success,,torchscript,fp16_native,artifacts/checkpoints/burgers_deeponet_base_r1024_seed1_best.pt,artifacts/torchscript/burgers_deeponet_base_r1024_seed1.ts,artifacts/benchmark_inputs/burgers_r1024_bank.pt,1,20,50,1.3560299761593342,1.3397738803178072,1.4361776411533356,1.8331841565668583,10.89697265625,results/jetson_deeponet_precision/burgers_deeponet_base_r1024_torchscript_fp16_native.json
burgers_deeponet_base_r1024_torchscript_fp32_strict,success,,torchscript,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_r1024_seed1_best.pt,artifacts/torchscript/burgers_deeponet_base_r1024_seed1.ts,artifacts/benchmark_inputs/burgers_r1024_bank.pt,1,20,50,1.4745596144348383,1.3036453165113926,2.54620099440217,4.242741037160158,12.6572265625,results/jetson_deeponet_precision/burgers_deeponet_base_r1024_torchscript_fp32_strict.json
burgers_deeponet_base_r1024_torchscript_tf32,success,,torchscript,tf32,artifacts/checkpoints/burgers_deeponet_base_r1024_seed1_best.pt,artifacts/torchscript/burgers_deeponet_base_r1024_seed1.ts,artifacts/benchmark_inputs/burgers_r1024_bank.pt,1,20,50,1.2941583152860403,1.27450842410326,1.4247540384531021,1.6879630275070667,12.6572265625,results/jetson_deeponet_precision/burgers_deeponet_base_r1024_torchscript_tf32.json
burgers_deeponet_base_r2048_eager_bf16_autocast,success,,eager,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_r2048_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,3.0254857894033194,3.0152411200106144,3.123597241938114,3.5889246501028538,13.759765625,results/jetson_deeponet_precision/burgers_deeponet_base_r2048_eager_bf16_autocast.json
