case_id,log_path,n_samples,avg_vddin_w,p95_vddin_w,max_vddin_w,avg_ram_used_mb,p95_ram_used_mb,max_ram_used_mb,ram_total_mb,avg_swap_used_mb,max_swap_used_mb,swap_total_mb,avg_gr3d_pct,p95_gr3d_pct,max_gr3d_pct,avg_emc_pct,p95_emc_pct,max_emc_pct,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_any_temp_c
burgers_deeponet_base_torchscript_bf16_autocast_120s,/home/jetson/jjyoo3/EDCNO_DeepONet/results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_bf16_autocast_120s_tegrastats_raw.log,119,11.73673949579832,11.796,11.837,4395.378151260505,4400.0,4402.0,7620.0,1337.0,1337.0,12002.0,28.529411764705884,44.099999999999994,72.0,nan,nan,nan,55.63064705882353,57.0,56.15429411764706,57.593,57.593
burgers_deeponet_base_torchscript_fp16_autocast_120s,/home/jetson/jjyoo3/EDCNO_DeepONet/results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_fp16_autocast_120s_tegrastats_raw.log,119,11.719512605042016,11.796,11.837,4409.571428571428,4413.1,4414.0,7620.0,1337.0,1337.0,12002.0,27.563025210084035,32.89999999999995,65.0,nan,nan,nan,54.77694117647059,55.156,55.26819327731092,55.656,55.718
burgers_deeponet_base_torchscript_fp16_native_120s,/home/jetson/jjyoo3/EDCNO_DeepONet/results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_fp16_native_120s_tegrastats_raw.log,119,11.64789075630252,11.755,11.837,4408.235294117647,4412.0,4415.0,7620.0,1337.0,1337.0,12002.0,20.756302521008404,21.0,21.0,nan,nan,nan,55.090201680672266,56.031,55.594966386554624,56.468,56.468
burgers_deeponet_base_torchscript_fp32_strict_120s,/home/jetson/jjyoo3/EDCNO_DeepONet/results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_fp32_strict_120s_tegrastats_raw.log,119,16.322991596638655,16.499,16.54,4302.193277310925,4307.0,4309.0,7620.0,1337.0,1337.0,12002.0,50.39495798319328,59.39999999999998,88.0,nan,nan,nan,58.593932773109245,62.5,58.11123529411765,62.343,62.5
burgers_deeponet_base_torchscript_tf32_120s,/home/jetson/jjyoo3/EDCNO_DeepONet/results/jetson_deeponet_long_energy/burgers_deeponet_base_torchscript_tf32_120s_tegrastats_raw.log,119,13.958235294117646,14.087,14.25,4303.882352941177,4308.0,4310.0,7620.0,1337.0,1337.0,12002.0,33.05882352941177,34.0,35.0,nan,nan,nan,60.17294957983193,61.718,60.37254621848739,61.937,61.937
darcy_deeponet_base_r281_torchscript_bf16_autocast_120s,/home/jetson/jjyoo3/EDCNO_DeepONet/results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_bf16_autocast_120s_tegrastats_raw.log,119,21.208193277310926,21.416,21.536,4435.9327731092435,4442.0,4443.0,7620.0,1337.0,1337.0,12002.0,93.40336134453781,99.0,99.0,nan,nan,nan,73.70078151260505,74.343,72.43079831932774,73.093,74.343
darcy_deeponet_base_r281_torchscript_fp16_autocast_120s,/home/jetson/jjyoo3/EDCNO_DeepONet/results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_fp16_autocast_120s_tegrastats_raw.log,119,21.573655462184874,21.697,21.697,4447.83193277311,4451.0,4454.0,7620.0,1337.0,1337.0,12002.0,93.74789915966386,99.0,99.0,nan,nan,nan,73.79584033613446,74.343,72.72232773109243,73.25,74.343
darcy_deeponet_base_r281_torchscript_fp16_native_120s,/home/jetson/jjyoo3/EDCNO_DeepONet/results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_fp16_native_120s_tegrastats_raw.log,119,21.364193277310925,21.46,21.536,4445.9327731092435,4455.0,4456.0,7620.0,1337.0,1337.0,12002.0,84.34453781512605,91.0,92.0,nan,nan,nan,73.84842016806724,74.406,72.47917647058824,73.062,74.406
darcy_deeponet_base_r281_torchscript_fp32_strict_120s,/home/jetson/jjyoo3/EDCNO_DeepONet/results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_fp32_strict_120s_tegrastats_raw.log,119,21.391310924369748,21.536,21.577,4303.470588235294,4308.1,4312.0,7620.0,1337.0,1337.0,12002.0,95.25210084033614,99.0,99.0,nan,nan,nan,73.68005882352941,74.218,71.68103361344538,72.312,74.218
darcy_deeponet_base_r281_torchscript_tf32_120s,/home/jetson/jjyoo3/EDCNO_DeepONet/results/jetson_deeponet_long_energy/darcy_deeponet_base_r281_torchscript_tf32_120s_tegrastats_raw.log,119,22.62546218487395,22.8324,22.872,4326.731092436975,4344.0,4345.0,7620.0,1337.0,1337.0,12002.0,91.26050420168067,93.0,99.0,nan,nan,nan,73.60521848739496,74.437,71.95179831932774,72.875,74.437
darcy_deeponet_base_torchscript_bf16_autocast_120s,/home/jetson/jjyoo3/EDCNO_DeepONet/results/jetson_deeponet_long_energy/darcy_deeponet_base_torchscript_bf16_autocast_120s_tegrastats_raw.log,119,17.26259663865546,17.42,17.501,4411.873949579832,4416.0,4418.0,7620.0,1337.0,1337.0,12002.0,66.9327731092437,73.0,78.0,nan,nan,nan,72.3956386554622,73.062,71.8709411764706,72.593,73.062
