case_id,log_path,n_samples,avg_vddin_w,p95_vddin_w,max_vddin_w,avg_ram_used_mb,p95_ram_used_mb,max_ram_used_mb,ram_total_mb,avg_swap_used_mb,max_swap_used_mb,swap_total_mb,avg_gr3d_pct,p95_gr3d_pct,max_gr3d_pct,avg_emc_pct,p95_emc_pct,max_emc_pct,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_any_temp_c
burgers_base_r2048_ts_fp32_strict_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/burgers_base_r2048_ts_fp32_strict_energy_tegrastats.log,1360,12.248286764705883,12.432,12.555,3570.8816176470586,3586.0,3592.0,7620.0,1368.7911764705882,1369.0,12002.0,37.27279411764706,40.0,86.0,nan,nan,nan,53.29895735294118,56.187,53.5733294117647,56.343,56.5
burgers_base_r2048_ts_tf32_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/burgers_base_r2048_ts_tf32_energy_tegrastats.log,1360,11.875522794117646,12.042,12.146,3582.741911764706,3592.0,3595.0,7620.0,1365.0,1365.0,12002.0,28.566911764705882,30.0,88.0,nan,nan,nan,56.73711911764706,58.093,57.112725,58.531,58.531
darcy_base_r141_ts_fp32_strict_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/darcy_base_r141_ts_fp32_strict_energy_tegrastats.log,1361,21.404335047758998,22.301,22.462,3656.6642174871417,3673.0,3678.0,7620.0,1365.0,1365.0,12002.0,92.8765613519471,99.0,99.0,nan,nan,nan,68.34186847905951,74.187,67.39416899338721,73.25,74.187
darcy_base_r141_ts_tf32_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/darcy_base_r141_ts_tf32_energy_tegrastats.log,1359,21.58240544518028,22.306,22.427,3598.898454746137,3607.0,3614.0,7620.0,1365.0,1365.0,12002.0,92.32229580573951,99.0,99.0,nan,nan,nan,73.27097277409861,74.406,72.47850331125828,73.562,74.406
darcy_base_r211_ts_fp32_strict_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/darcy_base_r211_ts_fp32_strict_energy_tegrastats.log,1360,21.26286176470588,21.743,21.784,3680.6610294117645,3690.0,3695.0,7620.0,1365.0,1365.0,12002.0,94.35882352941177,99.0,99.0,nan,nan,nan,73.45707426470588,74.468,72.41113235294118,73.281,74.468
darcy_base_r281_on421_ts_fp32_strict_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/darcy_base_r281_on421_ts_fp32_strict_energy_tegrastats.log,1365,21.489557509157507,22.145,22.266,3721.807326007326,3736.0,3745.0,7620.0,1416.0,1416.0,12002.0,95.47838827838828,99.0,99.0,nan,nan,nan,73.45389597069597,74.312,72.1855326007326,72.968,74.312
darcy_base_r281_on421_ts_tf32_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/darcy_base_r281_on421_ts_tf32_energy_tegrastats.log,1365,21.85213772893773,22.391,22.511,3689.7054945054947,3702.0,3708.0,7620.0,1416.0,1416.0,12002.0,95.54212454212454,99.0,99.0,nan,nan,nan,73.52811868131869,74.656,72.2725032967033,73.187,74.656
darcy_base_r281_ts_fp32_strict_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/darcy_base_r281_ts_fp32_strict_energy_tegrastats.log,1578,19.730649556400504,22.025,22.185,3726.826362484157,3780.0,3785.0,7620.0,1364.2921419518377,1365.0,12002.0,82.43092522179974,99.0,99.0,nan,nan,nan,72.20921292775665,74.218,71.31290811153359,72.937,74.218
darcy_base_r85_ts_fp32_strict_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/darcy_base_r85_ts_fp32_strict_energy_tegrastats.log,1361,20.11649963262307,21.174,21.335,3614.752387950037,3627.0,3628.0,7620.0,1365.0,1365.0,12002.0,90.07053637031595,98.0,98.0,nan,nan,nan,73.3110139603233,74.343,72.52455620867009,73.718,74.406
darcy_large_r141_on421_ts_fp32_strict_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/darcy_large_r141_on421_ts_fp32_strict_energy_tegrastats.log,1378,20.961171262699565,21.663,21.824,3974.8853410740203,3994.0,4273.0,7620.0,1416.0,1416.0,12002.0,95.28592162554426,99.0,99.0,nan,nan,nan,73.42187300435414,74.406,72.11050580551525,73.187,74.406
darcy_large_r141_on421_ts_tf32_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/darcy_large_r141_on421_ts_tf32_energy_tegrastats.log,1380,21.216870289855073,21.904,22.065,3913.866666666667,3925.0,4284.0,7620.0,1416.0,1416.0,12002.0,95.32971014492753,99.0,99.0,nan,nan,nan,73.45598768115943,74.406,72.1319384057971,72.906,74.406
darcy_large_r141_ts_fp32_strict_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/darcy_large_r141_ts_fp32_strict_energy_tegrastats.log,1383,21.483789587852495,22.507,22.632,3680.8474331164134,3691.0,4124.0,7620.0,1414.403470715835,1416.0,12002.0,93.56688358640636,99.0,99.0,nan,nan,nan,73.35719595083152,74.343,72.51092118582791,73.562,74.343
darcy_small_r141_ts_fp32_strict_energy,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_energy_long/darcy_small_r141_ts_fp32_strict_energy_tegrastats.log,1360,19.903198529411767,20.812,21.013,3757.7948529411765,3770.0,3776.0,7620.0,1364.0,1364.0,12002.0,91.6735294117647,98.0,99.0,nan,nan,nan,71.81408676470589,74.312,70.98803014705882,73.406,74.312
burgers_base_r4096_on_8192_eager_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_frontier/burgers_base_r4096_on_8192_eager_fp32_tegrastats.log,46,10.53891304347826,14.9,16.037,1987.8478260869565,2247.75,2249.0,7620.0,2023.0,2023.0,12002.0,10.847826086956522,78.75,98.0,nan,nan,nan,55.894282608695654,57.343,56.60628260869565,57.343,57.343
burgers_base_r4096_on_8192_torchscript_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_frontier/burgers_base_r4096_on_8192_torchscript_fp32_tegrastats.log,44,10.741568181818183,14.872350000000003,15.971,2098.7045454545455,2265.85,2266.0,7620.0,2023.0,2023.0,12002.0,9.863636363636363,89.0,90.0,nan,nan,nan,56.10331818181818,57.781,57.00675,57.406,57.781
darcy_base_r281_on_421_eager_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_frontier/darcy_base_r281_on_421_eager_fp32_tegrastats.log,133,18.668917293233083,22.06,22.181,2545.406015037594,2702.0,2703.0,7620.0,2021.203007518797,2023.0,12002.0,72.09774436090225,99.0,99.0,nan,nan,nan,59.31214285714286,61.75,58.66571428571429,60.656,61.75
darcy_base_r281_on_421_torchscript_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_frontier/darcy_base_r281_on_421_torchscript_fp32_tegrastats.log,136,18.360404411764705,22.07,22.14,2589.529411764706,2653.0,2660.0,7620.0,2020.0,2020.0,12002.0,70.3529411764706,99.0,99.0,nan,nan,nan,61.528095588235296,63.968,60.90035294117647,62.531,63.968
darcy_large_r141_on_421_eager_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_frontier/darcy_large_r141_on_421_eager_fp32_tegrastats.log,285,19.04236140350877,21.352800000000002,21.53,3435.1649122807016,3587.0,3762.0,7620.0,2016.0456140350877,2019.0,12002.0,80.45964912280702,99.0,99.0,nan,nan,nan,64.61684561403509,67.437,63.802150877192986,66.093,67.437
darcy_large_r141_on_421_torchscript_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_frontier/darcy_large_r141_on_421_torchscript_fp32_tegrastats.log,269,19.349193308550184,21.393,21.536,2916.4907063197024,2959.0,3432.0,7620.0,2013.0594795539034,2015.0,12002.0,82.81412639405204,99.0,99.0,nan,nan,nan,68.01154646840149,70.375,67.09973234200744,69.187,70.375
darcy_base_r281_on_561_ts_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_oom_frontier/darcy_base_r281_on_561_ts_fp32_tegrastats.log,64,13.81015625,21.806849999999997,21.853,3629.71875,3753.0,3753.0,7620.0,1467.0,1467.0,12002.0,33.390625,99.0,99.0,nan,nan,nan,54.0045,56.281,54.26775,55.468,56.281
darcy_base_r281_on_701_ts_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_oom_frontier/darcy_base_r281_on_701_ts_fp32_tegrastats.log,95,17.027515789473686,22.261,22.301,3686.1684210526314,3793.0,3793.0,7620.0,1467.0,1467.0,12002.0,57.49473684210526,99.0,99.0,nan,nan,nan,56.10518947368421,58.718,55.618,57.125,58.718
darcy_base_r281_on_841_ts_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_oom_frontier/darcy_base_r281_on_841_ts_fp32_tegrastats.log,93,16.51247311827957,21.571,21.692,3941.1720430107525,4163.0,4170.0,7620.0,1467.0,1467.0,12002.0,57.29032258064516,99.0,99.0,nan,nan,nan,57.240537634408604,59.156,57.03623655913979,58.218,59.156
darcy_base_r281_on_981_ts_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_oom_frontier/darcy_base_r281_on_981_ts_fp32_tegrastats.log,107,17.070766355140186,21.732,21.813,4255.691588785046,4576.0,4576.0,7620.0,1466.252336448598,1467.0,12002.0,61.88785046728972,99.0,99.0,nan,nan,nan,58.72426168224299,60.906,58.372887850467286,59.75,60.906
darcy_large_r141_on_561_ts_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_oom_frontier/darcy_large_r141_on_561_ts_fp32_tegrastats.log,196,14.438841836734692,21.651,21.692,3667.3214285714284,3730.0,3814.0,7620.0,1466.0,1466.0,12002.0,41.05102040816327,99.0,99.0,nan,nan,nan,59.256321428571425,62.593,59.04092857142857,61.156,62.593
darcy_large_r141_on_701_ts_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_oom_frontier/darcy_large_r141_on_701_ts_fp32_tegrastats.log,141,17.48304964539007,22.1,22.14,3906.2624113475176,4062.0,4238.0,7620.0,1466.0,1466.0,12002.0,62.170212765957444,99.0,99.0,nan,nan,nan,61.4630780141844,63.687,61.21041134751773,62.843,63.687
darcy_large_r141_on_841_ts_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_oom_frontier/darcy_large_r141_on_841_ts_fp32_tegrastats.log,221,18.92651583710407,21.651,21.732,4321.221719457014,4473.0,4473.0,7620.0,1466.0,1466.0,12002.0,76.2081447963801,99.0,99.0,nan,nan,nan,64.13111764705883,66.781,63.314506787330316,65.375,66.781
darcy_large_r141_on_981_ts_fp32,/home/jetson/jjyoo3/EDCNO/results/jetson_fno_oom_frontier/darcy_large_r141_on_981_ts_fp32_tegrastats.log,301,18.497066445182725,20.555,20.676,4703.541528239202,4876.0,4878.0,7620.0,1466.0,1466.0,12002.0,81.90365448504983,99.0,99.0,nan,nan,nan,66.63366445182724,68.75,65.80971428571429,67.593,68.75
