"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__inst_executed.avg.per_cycle_active","inst/cycle","2.65","2.66","2.66"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__inst_executed.avg.per_cycle_elapsed","inst/cycle","2.64","2.65","2.64"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__inst_issued.avg.pct_of_peak_sustained_active","%","66.29","66.58","66.43"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__inst_issued.avg.per_cycle_active","inst/cycle","2.65","2.66","2.66"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__inst_issued.max.pct_of_peak_sustained_active","%","66.55","66.84","66.69"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__instruction_throughput.avg.pct_of_peak_sustained_active","%","67.50","67.79","67.64"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_active","%","67.50","67.79","67.64"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active","%","17.02","17.09","17.05"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis"
"sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis"
"sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active","%","17.30","17.37","17.34"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active","%","67.50","67.79","67.64"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__inst_executed_pipe_cbu.avg.pct_of_peak_sustained_active","%","0.87","0.87","0.87"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active","%","16.26","16.33","16.30"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis"
"sm__inst_executed_pipe_fp64_op_dmma.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis"
"sm__inst_executed_pipe_fp64_op_fp64.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis"
"sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active","%","41.74","41.92","41.83","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","sm__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active","%","0.75","0.76","0.75","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1024, 1)","0","8.7","2","Compute Workload Analysis","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis"
"sm__inst_executed_pipe_uniform.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","Compute Workload Analysis"
"sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00",
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","GPU Speed Of Light Roofline Chart","sm__sass_thread_inst_executed_op_dfma_pred_on.sum.peak_sustained","inst/cycle","16.00","16.00","16.00"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","GPU Speed Of Light Roofline Chart","sm__sass_thread_inst_executed_op_ffma_pred_on.sum.peak_sustained","inst/cycle","1,024.00","1,024.00","1,024.00"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","GPU Speed Of Light Roofline Chart","smsp__sass_thread_inst_executed_op_dfma_pred_on.sum.per_cycle_elapsed","inst/cycle","0.00","0.00","0.00"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","GPU Speed Of Light Roofline Chart","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum.per_cycle_elapsed","inst/cycle","138.06","138.50","138.28"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","GPU Speed Of Light Throughput","gpc__cycles_elapsed.avg.per_second","hz","1,009,359,988.70","1,009,649,378.12","1,009,504,683.41"
"2074632","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1024, 1)","0","8.7","2","GPU Speed Of Light Throughput","gpc__cycles_elapsed.max","cycle","568,893.00","571,540.00","570,216.50"
