"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis","sm__inst_executed.avg.per_cycle_active","inst/cycle","1.62","1.63","1.63"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis","sm__inst_executed.avg.per_cycle_elapsed","inst/cycle","0.67","0.68","0.68"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis","sm__inst_issued.avg.pct_of_peak_sustained_active","%","40.70","40.91","40.80"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis","sm__inst_issued.avg.per_cycle_active","inst/cycle","1.63","1.64","1.63"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis","sm__inst_issued.max.pct_of_peak_sustained_active","%","81.72","82.18","81.95"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis","sm__instruction_throughput.avg.pct_of_peak_sustained_active","%","40.70","40.91","40.80"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis","sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_active","%","15.48","15.56","15.52"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis","sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active","%","25.60","25.72","25.66"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis","sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","Compute Workload Analysis","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)"
"(2, 1, 2)","0","8.7","2","Compute Workload Analysis","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis"
"sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis"
"sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active","%","0.00","0.00","0.00","2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","Compute Workload Analysis","sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active","%","3.70","3.71","3.70"
