Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
78.6,1739512896,81,21475467.9,18748992.0,17897216,197724064,19940706.2,cudaDeviceSynchronize
16.7,369806400,9125,40526.7,20256.0,11808,18995488,335388.2,cudaLaunchKernel
1.6,35304320,893,39534.5,20416.0,13600,1763616,148316.1,cuLaunchKernel
1.1,24706176,8,3088272.0,3062480.0,1223296,4496224,1025054.0,cuLibraryLoadData
0.5,11182976,12,931914.7,705488.0,11136,2462080,754534.2,cudaMalloc
0.5,10569760,200,52848.8,16960.0,12032,1603488,160419.0,cudaMemsetAsync
0.3,7655584,200,38277.9,2064.0,1344,7178496,507427.5,cuKernelGetFunction
0.2,5036800,22,228945.5,37984.0,15328,3910560,823754.0,cudaMemcpyAsync
0.2,3459808,7,494258.3,478880.0,463200,577856,39903.6,cuModuleLoadData
0.1,3156160,1,3156160.0,3156160.0,3156160,3156160,0.0,cudaFree
0.1,1768224,22,80373.8,22272.0,3648,375904,131703.5,cudaStreamSynchronize
0.0,261184,826,316.2,224.0,128,9856,379.3,cuGetProcAddress_v2
0.0,65664,18,3648.0,896.0,672,39936,9194.6,cudaEventCreateWithFlags
0.0,57536,9,6392.9,6176.0,2304,10528,2453.2,cudaStreamIsCapturing_v10000
0.0,20832,9,2314.7,2112.0,1920,3936,623.0,cuLibraryGetKernel
0.0,12224,3,4074.7,4256.0,3456,4512,550.9,cuInit
0.0,2784,3,928.0,640.0,320,1824,792.3,cuModuleGetLoadingMode
0.0,2656,2,1328.0,1328.0,640,2016,973.0,cudaGetDriverEntryPoint_v11030
