Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.8,661611776,81,8168046.6,6886592.0,5868096,99040416,10287930.8,cudaDeviceSynchronize
19.1,171043264,4136,41354.8,21504.0,13952,11929952,363286.9,cudaLaunchKernel
2.8,25518944,8,3189868.0,3162512.0,1293248,4756736,1074912.5,cuLibraryLoadData
1.5,13200192,497,26559.7,20736.0,18528,338368,17477.0,cuLaunchKernel
0.7,5988736,9,665415.1,394336.0,10496,1754976,531855.8,cudaMalloc
0.5,4802336,22,218288.0,33264.0,15008,3887360,820225.0,cudaMemcpyAsync
0.4,3491232,22,158692.4,63168.0,3488,388736,155001.9,cudaStreamSynchronize
0.4,3345568,200,16727.8,15680.0,11776,41088,4768.7,cudaMemsetAsync
0.3,3109664,1,3109664.0,3109664.0,3109664,3109664,0.0,cudaFree
0.3,2952192,200,14761.0,1952.0,1408,2484640,175526.4,cuKernelGetFunction
0.2,1540032,3,513344.0,493920.0,479520,566592,46672.8,cuModuleLoadData
0.0,256352,826,310.4,224.0,128,11328,427.6,cuGetProcAddress_v2
0.0,67552,18,3752.9,928.0,640,37440,8665.9,cudaEventCreateWithFlags
0.0,41984,6,6997.3,6240.0,4704,10688,2341.6,cudaStreamIsCapturing_v10000
0.0,20544,9,2282.7,2144.0,1760,3872,632.2,cuLibraryGetKernel
0.0,13632,3,4544.0,4512.0,4480,4640,84.7,cuInit
0.0,3232,3,1077.3,480.0,448,2304,1062.4,cuModuleGetLoadingMode
0.0,2848,2,1424.0,1424.0,928,1920,701.4,cudaGetDriverEntryPoint_v11030
