Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.3,2782608928,81,34353196.6,28054752.0,26578624,441213600,45897288.9,cudaDeviceSynchronize
8.9,277580960,4514,61493.3,21952.0,8672,14977376,456368.9,cudaLaunchKernel
0.5,17118944,4,4279736.0,5317696.0,992000,5491552,2193743.7,cuLibraryLoadData
0.3,9312064,297,31353.8,21920.0,18336,159712,19458.1,cuLaunchKernel
0.3,9038144,11,821649.5,415776.0,10752,1976160,729686.9,cudaMalloc
0.3,7978496,100,79785.0,30432.0,14752,1896960,280962.4,cudaMemsetAsync
0.2,4768640,22,216756.4,32464.0,14944,3857056,813838.9,cudaMemcpyAsync
0.1,3684096,22,167458.9,60240.0,3648,420608,163398.1,cudaStreamSynchronize
0.1,3179968,1,3179968.0,3179968.0,3179968,3179968,0.0,cudaFree
0.0,1433088,3,477696.0,501664.0,361920,569504,105847.2,cuModuleLoadData
0.0,242176,826,293.2,224.0,128,6752,292.0,cuGetProcAddress_v2
0.0,63712,18,3539.6,768.0,704,31808,7421.8,cudaEventCreateWithFlags
0.0,54816,8,6852.0,6592.0,4864,10080,1778.9,cudaStreamIsCapturing_v10000
0.0,13152,3,4384.0,4320.0,3776,5056,642.4,cuInit
0.0,7008,4,1752.0,1760.0,1632,1856,120.8,cuLibraryGetKernel
0.0,2912,3,970.7,480.0,288,2144,1020.7,cuModuleGetLoadingMode
0.0,2592,2,1296.0,1296.0,960,1632,475.2,cudaGetDriverEntryPoint_v11030
