Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
83.6,1277931136,81,15776927.6,12899392.0,12397984,218673856,22903083.7,cudaDeviceSynchronize
11.1,169806624,3614,46985.8,22048.0,8448,14324320,436742.2,cudaLaunchKernel
1.9,29597632,1197,24726.5,19872.0,17856,337760,14297.9,cuLaunchKernel
1.1,17401856,4,4350464.0,5177440.0,1192960,5854016,2129034.6,cuLibraryLoadData
0.8,12030368,11,1093669.8,522336.0,11200,4567744,1299281.2,cudaMalloc
0.5,7773920,900,8637.7,1632.0,1120,5830368,194307.0,cuKernelGetFunction
0.3,4752384,22,216017.5,34176.0,14816,3844384,811149.0,cudaMemcpyAsync
0.2,3451008,22,156864.0,58832.0,3456,373344,153269.8,cudaStreamSynchronize
0.2,3131904,1,3131904.0,3131904.0,3131904,3131904,0.0,cudaFree
0.1,1975808,3,658602.7,568512.0,465312,941984,250781.4,cuModuleLoadData
0.1,774496,900,860.6,736.0,544,2944,288.7,cudaMemsetAsync
0.0,250144,826,302.8,224.0,128,6720,285.3,cuGetProcAddress_v2
0.0,60448,18,3358.2,752.0,640,37856,8750.4,cudaEventCreateWithFlags
0.0,55712,8,6964.0,7168.0,4192,10560,2256.7,cudaStreamIsCapturing_v10000
0.0,14464,6,2410.7,2064.0,1536,4192,986.4,cuLibraryGetKernel
0.0,11680,3,3893.3,3872.0,3744,4064,161.1,cuInit
0.0,2848,3,949.3,416.0,256,2176,1065.3,cuModuleGetLoadingMode
0.0,1888,2,944.0,944.0,512,1376,610.9,cudaGetDriverEntryPoint_v11030
