run_id,source_group,experiment_name,dataset,model_family,variant_type,backend,precision,batch_size,mode,params,train_resolution,input_resolution,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,cuda_peak_allocated_mb,input_bank,source,sample_index,notes,bank_meta_dataset,bank_meta_resolution,bank_meta_num_samples,synthetic_frontier,synthetic_from,soft_infeasible_200ms,soft_infeasible_500ms,soft_infeasible_1000ms,json_path,tegrastats_path,sample_count,ram_mb_mean,ram_mb_peak,swap_mb_peak,board_power_w_mean,board_power_w_peak,gpu_util_pct_mean,gpu_util_pct_peak,temp_gpu_c_mean,temp_gpu_c_peak,tegrastats_path_tegrastats,success,oom_flag
jetson_fno:burgers_fno_base_modes12_seed1_eager_fp32,jetson_fno,burgers_fno_base_modes12_seed1_eager_fp32,burgers,FNO,ablation,eager,fp32,1,eager,,2048,2048,4.846296482719481,4.834515042603016,4.9323407001793385,5.084281321614981,4.736464004963636,5.111737176775932,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_fno_base_modes12_seed1_best.pt,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_modes12_seed1_eager_fp32.json,results/jetson_fno/burgers_fno_base_modes12_seed1_eager_fp32_tegrastats.log,38.0,2079.2894736842104,2255.0,1999.0,9.731921052631584,10.625,4.605263157894737,32.0,49.41902631578946,49.968,results/jetson_fno/burgers_fno_base_modes12_seed1_eager_fp32_tegrastats.log,True,False
jetson_fno:burgers_fno_base_modes12_seed1_torchscript_fp32,jetson_fno,burgers_fno_base_modes12_seed1_torchscript_fp32,burgers,FNO,ablation,torchscript,fp32,1,torchscript,,2048,2048,3.2067066431045532,3.207101020962,3.263757564127445,3.27732739970088,3.1211948953568935,3.2773897983133793,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_modes12_seed1.ts,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_modes12_seed1_torchscript_fp32.json,results/jetson_fno/burgers_fno_base_modes12_seed1_torchscript_fp32_tegrastats.log,41.0,2110.3658536585367,2282.0,1999.0,9.696024390243904,10.748,2.7804878048780486,28.0,49.50878048780486,49.843,results/jetson_fno/burgers_fno_base_modes12_seed1_torchscript_fp32_tegrastats.log,True,False
jetson_fno:burgers_fno_base_modes16_seed2_eager_fp32,jetson_fno,burgers_fno_base_modes16_seed2_eager_fp32,burgers,FNO,ablation,eager,fp32,1,eager,,2048,2048,4.971918757073581,4.964967491105199,5.041720811277628,5.056953057646751,4.861332941800356,5.104538053274155,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_fno_base_modes16_seed2_best.pt,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_modes16_seed2_eager_fp32.json,results/jetson_fno/burgers_fno_base_modes16_seed2_eager_fp32_tegrastats.log,39.0,2098.4615384615386,2275.0,1999.0,9.724076923076929,10.666,3.3333333333333335,19.0,49.73594871794871,50.25,results/jetson_fno/burgers_fno_base_modes16_seed2_eager_fp32_tegrastats.log,True,False
jetson_fno:burgers_fno_base_modes16_seed2_torchscript_fp32,jetson_fno,burgers_fno_base_modes16_seed2_torchscript_fp32,burgers,FNO,ablation,torchscript,fp32,1,torchscript,,2048,2048,3.332369737327099,3.3295522443950176,3.3784168772399426,3.431987017393112,3.2652951776981354,3.447315189987421,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_modes16_seed2.ts,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_modes16_seed2_torchscript_fp32.json,results/jetson_fno/burgers_fno_base_modes16_seed2_torchscript_fp32_tegrastats.log,42.0,2117.8571428571427,2292.0,1999.0,9.687214285714287,10.789,3.5,37.0,49.845666666666645,50.5,results/jetson_fno/burgers_fno_base_modes16_seed2_torchscript_fp32_tegrastats.log,True,False
jetson_fno:burgers_fno_base_modes32_seed1_eager_fp32,jetson_fno,burgers_fno_base_modes32_seed1_eager_fp32,burgers,FNO,ablation,eager,fp32,1,eager,,2048,2048,4.9040818540379405,4.885014379397035,5.060954950749874,5.219870246946812,4.804628901183605,5.228863097727299,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_fno_base_modes32_seed1_best.pt,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_modes32_seed1_eager_fp32.json,results/jetson_fno/burgers_fno_base_modes32_seed1_eager_fp32_tegrastats.log,38.0,2113.7368421052633,2288.0,1999.0,9.740947368421056,10.789,5.052631578947368,64.0,49.90926315789471,50.406,results/jetson_fno/burgers_fno_base_modes32_seed1_eager_fp32_tegrastats.log,True,False
jetson_fno:burgers_fno_base_modes32_seed1_torchscript_fp32,jetson_fno,burgers_fno_base_modes32_seed1_torchscript_fp32,burgers,FNO,ablation,torchscript,fp32,1,torchscript,,2048,2048,3.364997967146337,3.310353262349963,3.7030032835900784,3.871997818350792,3.229294903576374,4.375754855573177,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_modes32_seed1.ts,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_modes32_seed1_torchscript_fp32.json,results/jetson_fno/burgers_fno_base_modes32_seed1_torchscript_fp32_tegrastats.log,41.0,2130.9756097560976,2303.0,1998.0,9.69858536585366,10.83,3.6097560975609757,29.0,50.027121951219506,50.656,results/jetson_fno/burgers_fno_base_modes32_seed1_torchscript_fp32_tegrastats.log,True,False
jetson_fno:burgers_fno_base_nocoords_seed0_eager_fp32,jetson_fno,burgers_fno_base_nocoords_seed0_eager_fp32,burgers,FNO,ablation,eager,fp32,1,eager,,2048,2048,4.5607176795601845,4.555040039122105,4.662001971155405,4.699827637523413,4.440397024154663,4.70869243144989,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_fno_base_nocoords_seed0_best.pt,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_nocoords_seed0_eager_fp32.json,results/jetson_fno/burgers_fno_base_nocoords_seed0_eager_fp32_tegrastats.log,37.0,2114.6486486486488,2288.0,1998.0,9.762864864864868,10.871,5.081081081081081,34.0,50.182918918918915,50.718,results/jetson_fno/burgers_fno_base_nocoords_seed0_eager_fp32_tegrastats.log,True,False
jetson_fno:burgers_fno_base_nocoords_seed0_torchscript_fp32,jetson_fno,burgers_fno_base_nocoords_seed0_torchscript_fp32,burgers,FNO,ablation,torchscript,fp32,1,torchscript,,2048,2048,3.199433758854866,3.192878793925047,3.2847533002495766,3.3175540156662464,3.111437428742647,3.3265138044953346,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_nocoords_seed0.ts,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_nocoords_seed0_torchscript_fp32.json,results/jetson_fno/burgers_fno_base_nocoords_seed0_torchscript_fp32_tegrastats.log,41.0,2137.0,2312.0,1998.0,9.698024390243905,10.789,2.926829268292683,29.0,50.210682926829264,50.937,results/jetson_fno/burgers_fno_base_nocoords_seed0_torchscript_fp32_tegrastats.log,True,False
jetson_fno:burgers_fno_base_pad0_seed1_eager_fp32,jetson_fno,burgers_fno_base_pad0_seed1_eager_fp32,burgers,FNO,ablation,eager,fp32,1,eager,,2048,2048,4.568207287229598,4.568753065541387,4.617329686880112,4.659347701817751,4.489583894610405,4.705332685261965,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/checkpoints/burgers_fno_base_pad0_seed1_best.pt,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_pad0_seed1_eager_fp32.json,results/jetson_fno/burgers_fno_base_pad0_seed1_eager_fp32_tegrastats.log,40.0,2141.45,2321.0,1998.0,9.674900000000001,10.379,3.625,30.0,50.37767499999998,50.812,results/jetson_fno/burgers_fno_base_pad0_seed1_eager_fp32_tegrastats.log,True,False
jetson_fno:burgers_fno_base_pad0_seed1_torchscript_fp32,jetson_fno,burgers_fno_base_pad0_seed1_torchscript_fp32,burgers,FNO,ablation,torchscript,fp32,1,torchscript,,2048,2048,2.963866349309683,2.9590653721243143,3.0241706408560276,3.0506039038300514,2.871367149055004,3.068365156650543,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_pad0_seed1.ts,0,,burgers,2048,8,False,,False,False,False,results/jetson_fno/burgers_fno_base_pad0_seed1_torchscript_fp32.json,results/jetson_fno/burgers_fno_base_pad0_seed1_torchscript_fp32_tegrastats.log,41.0,2154.512195121951,2330.0,1998.0,9.64670731707317,10.379,3.2439024390243905,62.0,50.442536585365836,50.843,results/jetson_fno/burgers_fno_base_pad0_seed1_torchscript_fp32_tegrastats.log,True,False
