experiment_name,task,ablation,resolution,params,selected_seed,test_rel_l2_mean,metric_source_key,metric_source_file,status
burgers_fno_base_modes12_seed1,Burgers,modes12,2048,124945,1,0.00091649353,test_rel_l2_mean,artifacts/summaries/burgers_fno_base_modes12_seed1_summary.json,FOUND
burgers_fno_base_modes16_seed2,Burgers,modes16,2048,161809,2,0.00091392209,test_rel_l2_mean,artifacts/summaries/burgers_fno_base_modes16_seed2_summary.json,FOUND
burgers_fno_base_modes32_seed1,Burgers,modes32,2048,309265,1,0.00082402624,test_rel_l2_mean,artifacts/summaries/burgers_fno_base_modes32_seed1_summary.json,FOUND
burgers_fno_base_nocoords_seed0,Burgers,nocoords,2048,235489,0,0.00094356015,test_rel_l2_mean,artifacts/summaries/burgers_fno_base_nocoords_seed0_summary.json,FOUND
burgers_fno_base_pad0_seed1,Burgers,pad0,2048,235537,1,0.00054512796,test_rel_l2_mean,artifacts/summaries/burgers_fno_base_pad0_seed1_summary.json,FOUND
burgers_fno_base_pad40_seed1,Burgers,pad40,2048,235537,1,0.00092733034,test_rel_l2_mean,artifacts/summaries/burgers_fno_base_pad40_seed1_summary.json,FOUND
darcy_fno_base_modes12_seed1,Darcy,modes12,141x141,1853953,1,0.014766185,test_rel_l2_mean,artifacts/summaries/darcy_fno_base_modes12_seed1_summary.json,FOUND
darcy_fno_base_modes24_seed1,Darcy,modes24,141x141,7383553,1,0.01445665,test_rel_l2_mean,artifacts/summaries/darcy_fno_base_modes24_seed1_summary.json,FOUND
darcy_fno_base_nocoords_seed2,Darcy,nocoords,141x141,3287473,2,0.016575705,test_rel_l2_mean,artifacts/summaries/darcy_fno_base_nocoords_seed2_summary.json,FOUND
darcy_fno_base_pad0_seed1,Darcy,pad0,141x141,3287553,1,0.013092494,test_rel_l2_mean,artifacts/summaries/darcy_fno_base_pad0_seed1_summary.json,FOUND
darcy_fno_base_pad15_seed0,Darcy,pad15,141x141,3287553,0,0.014260203,test_rel_l2_mean,artifacts/summaries/darcy_fno_base_pad15_seed0_summary.json,FOUND
