tag,dataset,resolution,parameter_count,mode,precision_mode,measure_seconds_actual,measure_iters,throughput_inf_s,median_ms,p95_ms,avg_power_w,median_power_w,p95_power_w,peak_power_w,energy_per_inf_j,ram_used_peak_mb,peak_cuda_alloc_mb,gpu_temp_start_c,gpu_temp_end_c,gpu_temp_peak_c,tj_temp_peak_c
burgers_base_r2048_ts_fp32_strict_energy,burgers,[2048],235537,torchscript,fp32_strict,120.00029510213062,33924,282.6993047902736,3.4681102260947227,3.8455617614090443,12.248286764705883,12.309,12.432,12.555,0.04332620051468655,3592,11.78564453125,48.125,55.125,56.187,56.5
burgers_base_r2048_ts_tf32_energy,burgers,[2048],235537,torchscript,tf32,120.00012801634148,35972,299.7663468750748,3.284457139670849,3.5427692346274853,11.875522794117646,11.941,12.042,12.146,0.03961593060033078,3595,11.78564453125,54.437,56.5,58.093,58.531
burgers_base_r8192_ts_fp32_strict_energy,burgers,[8192],235537,torchscript,fp32_strict,120.0019691180205,26062,217.1797695616839,4.591580014675856,4.659614060074091,16.76033259749816,17.015,17.554,17.675,0.07717262354281047,3410,17.4580078125,64.156,71.375,74.343,74.343
darcy_base_r141_ts_fp32_strict_energy,darcy,"[141, 141]",3287553,torchscript,fp32_strict,120.01486557209864,13146,109.53643065243924,8.99326242506504,10.04438428208232,21.404335047758998,21.703,22.301,22.462,0.19540836706351403,3678,50.67333984375,55.656,71.625,74.187,74.187
darcy_base_r141_ts_tf32_energy,darcy,"[141, 141]",3287553,torchscript,tf32,120.00128513015807,15208,126.73197610762928,7.6379235833883286,8.84613674134016,21.58240544518028,21.904,22.306,22.427,0.17029960478838474,3614,50.67333984375,68.812,71.531,74.406,74.406
darcy_base_r211_ts_fp32_strict_energy,darcy,"[211, 211]",3287553,torchscript,fp32_strict,120.00941261136904,6742,56.17892674662836,17.406841972842813,19.566831178963184,21.26286176470588,21.623,21.743,21.784,0.3784846560099511,3695,70.6396484375,68.968,71.093,74.468,74.468
darcy_base_r281_on421_ts_fp32_strict_energy,darcy,"[281, 281]",3287553,torchscript,fp32_strict,120.05739487987012,1273,10.603261892145575,92.29346783831716,108.9648469351232,21.489557509157507,21.824,22.145,22.266,2.026693080652475,3745,175.98583984375,69.343,71.25,74.312,74.312
darcy_base_r281_on421_ts_tf32_energy,darcy,"[281, 281]",3287553,torchscript,tf32,120.04854437196627,1396,11.628629129184125,84.05728545039892,102.00901003554463,21.85213772893773,22.23,22.391,22.511,1.8791671388070912,3708,175.98583984375,69.0,70.968,74.656,74.656
darcy_base_r281_ts_fp32_strict_energy,darcy,"[281, 281]",3287553,torchscript,fp32_strict,120.0200817650184,3122,26.012313556929705,37.67118416726589,42.4127746373415,19.730649556400504,21.743,22.025,22.185,0.7585119068020859,3785,99.12109375,68.875,71.125,74.218,74.218
darcy_base_r421_ts_fp32_strict_energy,darcy,"[421, 421]",3287553,torchscript,fp32_strict,120.02035538805649,1455,12.122943606487524,82.43297098670155,83.30263302195817,21.527269654665687,21.95,22.431,22.511,1.775746085558419,3473,175.98583984375,68.593,70.968,74.656,74.656
darcy_base_r85_ts_fp32_strict_energy,darcy,"[85, 85]",3287553,torchscript,fp32_strict,120.0056523187086,19981,166.50049071801104,5.859578959643841,6.6491081379354,20.11649963262307,20.321,21.174,21.335,0.12081946152755085,3628,40.7568359375,69.031,71.5,74.343,74.406
darcy_large_r141_on421_ts_fp32_strict_energy,darcy,"[141, 141]",28345217,torchscript,fp32_strict,120.04547204310074,562,4.68155933276868,209.49102495796978,230.3902511484921,20.961171262699565,21.341,21.663,21.824,4.477390923144212,4273,501.6103515625,68.843,71.375,74.406,74.406
darcy_large_r141_on421_ts_tf32_energy,darcy,"[141, 141]",28345217,torchscript,tf32,120.1088656890206,606,5.045422721491872,194.65912925079465,214.99142469838262,21.216870289855073,21.623,21.904,22.065,4.205171986774876,4284,501.6103515625,68.875,71.125,74.406,74.406
darcy_large_r141_ts_fp32_strict_energy,darcy,"[141, 141]",28345217,torchscript,fp32_strict,120.00814114278182,3933,32.77277660121944,29.733906965702772,33.37664809077978,21.483789587852495,21.985,22.507,22.632,0.655537669245062,4124,261.009765625,69.218,71.531,74.343,74.343
darcy_small_r141_ts_fp32_strict_energy,darcy,"[141, 141]",667713,torchscript,fp32_strict,120.00445470586419,16411,136.75325670387846,7.126595359295607,8.242374751716852,19.903198529411767,20.119,20.812,21.013,0.1455409473173248,3776,25.599609375,68.125,71.75,74.312,74.312
