tag,status,dataset,resolution,parameter_count,precision_mode,mode,input_bank,input_shape,input_dtype,median_ms,mean_ms,p95_ms,p99_ms,repeat_median_ms_median,repeat_median_ms_std,peak_cuda_alloc_mb,peak_cuda_reserved_mb,error_type,error_message
burgers_base_r2048_eager_fft_safe_bf16_autocast,success,burgers,[2048],235537,fft_safe_bf16_autocast,eager,artifacts/benchmark_inputs/burgers_r2048_bank.pt,"[1, 2048]",torch.float32,5.905421217903495,6.051897648721933,6.752362009137869,8.440228644758463,5.893899826332927,0.027497242257052242,12.18896484375,26.0,,
burgers_base_r2048_eager_fft_safe_fp16_autocast,success,burgers,[2048],235537,fft_safe_fp16_autocast,eager,artifacts/benchmark_inputs/burgers_r2048_bank.pt,"[1, 2048]",torch.float32,5.778297316282988,5.886440163788696,6.247128825634718,8.070871699601412,5.772456061094999,0.0096744364686183,12.18896484375,26.0,,
burgers_base_r2048_eager_fp32_strict,success,burgers,[2048],235537,fp32_strict,eager,artifacts/benchmark_inputs/burgers_r2048_bank.pt,"[1, 2048]",torch.float32,4.826743854209781,4.849131675437093,4.948843736201525,5.402907729148865,4.819574765861034,0.01697851804900253,12.17333984375,26.0,,
burgers_base_r2048_eager_tf32,success,burgers,[2048],235537,tf32,eager,artifacts/benchmark_inputs/burgers_r2048_bank.pt,"[1, 2048]",torch.float32,4.9079780001193285,4.9419669186075526,5.021614953875542,5.819178186357021,4.906777758151293,0.007329287028458085,12.17333984375,26.0,,
burgers_base_r4096_eager_fft_safe_bf16_autocast,success,burgers,[4096],235537,fft_safe_bf16_autocast,eager,artifacts/benchmark_inputs/burgers_r4096_bank.pt,"[1, 4096]",torch.float32,5.8748910669237375,6.073521605382363,7.335518021136522,9.804148226976395,5.887627834454179,0.017132478603699153,14.46240234375,28.0,,
burgers_base_r4096_eager_fft_safe_fp16_autocast,success,burgers,[4096],235537,fft_safe_fp16_autocast,eager,artifacts/benchmark_inputs/burgers_r4096_bank.pt,"[1, 4096]",torch.float32,5.921068834140897,5.985381780192256,6.222199648618698,7.215674035251141,5.915852962061763,0.009327923624511998,14.46240234375,28.0,,
burgers_base_r4096_eager_fp32_strict,success,burgers,[4096],235537,fp32_strict,eager,artifacts/benchmark_inputs/burgers_r4096_bank.pt,"[1, 4096]",torch.float32,5.229125497862697,5.35203661924849,5.758375860750675,7.925362791866064,5.230149021372199,0.02347786656242921,14.44677734375,30.0,,
burgers_base_r4096_eager_tf32,success,burgers,[4096],235537,tf32,eager,artifacts/benchmark_inputs/burgers_r4096_bank.pt,"[1, 4096]",torch.float32,4.839111818000674,4.8701205508162575,4.988620989024639,5.171314813196659,4.8394640907645226,0.0047758019843838016,14.44677734375,30.0,,
darcy_base_r141_eager_fft_safe_bf16_autocast,success,darcy,"[141, 141]",3287553,fft_safe_bf16_autocast,eager,artifacts/benchmark_inputs/darcy_r141_bank.pt,"[1, 141, 141]",torch.float32,8.412562776356936,8.650189839924375,9.688815101981163,14.719901140779257,8.410274982452393,0.0030625482772830117,54.89990234375,62.0,,
darcy_base_r141_eager_fft_safe_fp16_autocast,success,darcy,"[141, 141]",3287553,fft_safe_fp16_autocast,eager,artifacts/benchmark_inputs/darcy_r141_bank.pt,"[1, 141, 141]",torch.float32,8.569032652303576,8.790512417132655,9.81144281104207,13.443312142044306,8.57069599442184,0.012053924255030584,54.89990234375,62.0,,
darcy_base_r141_eager_fp32_strict,success,darcy,"[141, 141]",3287553,fp32_strict,eager,artifacts/benchmark_inputs/darcy_r141_bank.pt,"[1, 141, 141]",torch.float32,9.348371997475624,9.64870962469528,10.61332831159234,17.281205859035254,9.34845139272511,0.0022125678566740524,54.25830078125,82.0,,
darcy_base_r141_eager_tf32,success,darcy,"[141, 141]",3287553,tf32,eager,artifacts/benchmark_inputs/darcy_r141_bank.pt,"[1, 141, 141]",torch.float32,8.043318055570126,8.295785984955728,9.280832950025797,15.520664863288403,8.04848619736731,0.006298155044675206,54.25830078125,82.0,,
darcy_base_r281_eager_fft_safe_bf16_autocast,success,darcy,"[281, 281]",3287553,fft_safe_bf16_autocast,eager,artifacts/benchmark_inputs/darcy_r281_bank.pt,"[1, 281, 281]",torch.float32,36.174173234030604,37.066259772206344,41.107687167823315,51.93081172183156,36.166220903396606,0.031375275381592814,112.65771484375,166.0,,
darcy_base_r281_eager_fft_safe_fp16_autocast,success,darcy,"[281, 281]",3287553,fft_safe_fp16_autocast,eager,artifacts/benchmark_inputs/darcy_r281_bank.pt,"[1, 281, 281]",torch.float32,36.674908362329006,37.5824473441268,41.892478708177805,52.731732837855816,36.63477813825011,0.09677963629437578,112.65771484375,166.0,,
darcy_base_r281_eager_fp32_strict,success,darcy,"[281, 281]",3287553,fp32_strict,eager,artifacts/benchmark_inputs/darcy_r281_bank.pt,"[1, 281, 281]",torch.float32,38.130212342366576,39.01663923325638,41.996937710791826,54.53836219385266,38.12688332982361,0.03805556330718182,112.64501953125,194.0,,
darcy_base_r281_eager_tf32,success,darcy,"[281, 281]",3287553,tf32,eager,artifacts/benchmark_inputs/darcy_r281_bank.pt,"[1, 281, 281]",torch.float32,34.68777169473469,35.546871023252606,38.374442141503096,51.21920583769679,34.68204406090081,0.019137163297719795,112.64501953125,194.0,,
darcy_base_r281_on421_eager_fft_safe_bf16_autocast,success,darcy,"[281, 281]",3287553,fft_safe_bf16_autocast,eager,artifacts/benchmark_inputs/darcy_r421_bank.pt,"[1, 421, 421]",torch.float32,89.34977371245623,91.48034311365336,107.67217399552464,110.46896874904633,89.36259243637323,0.0635778635251029,205.69580078125,322.0,,
darcy_base_r281_on421_eager_fft_safe_fp16_autocast,success,darcy,"[281, 281]",3287553,fft_safe_fp16_autocast,eager,artifacts/benchmark_inputs/darcy_r421_bank.pt,"[1, 421, 421]",torch.float32,89.9744622875005,92.10986996690433,107.66138089820743,110.17065308988094,89.94086040183902,0.04648881879901996,205.69580078125,322.0,,
