tag,experiment_name,selected_seed,mode,precision_mode,json_path,status,dataset,resolution,parameter_count,input_bank,input_shape,input_dtype,mean_ms,median_ms,p95_ms,p99_ms,repeat_median_ms_median,repeat_median_ms_std,peak_cuda_alloc_mb,peak_cuda_reserved_mb,error_type,failure_class,error_message_short
burgers_fno_base_modes12_seed1_eager_bf16_autocast,burgers_fno_base_modes12,1,eager,bf16_autocast,results/jetson_fno_precision/burgers_fno_base_modes12_seed1_eager_bf16_autocast.json,failed,,null,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,null,,,,,,,,,,RuntimeError,fft_bf16_unsupported,Unsupported dtype BFloat16
burgers_fno_base_modes12_seed1_eager_fp16_autocast,burgers_fno_base_modes12,1,eager,fp16_autocast,results/jetson_fno_precision/burgers_fno_base_modes12_seed1_eager_fp16_autocast.json,failed,,null,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,null,,,,,,,,,,RuntimeError,fft_fp16_non_power_of_two_size_2072,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[2072]"
burgers_fno_base_modes12_seed1_eager_fp16_native,burgers_fno_base_modes12,1,eager,fp16_native,results/jetson_fno_precision/burgers_fno_base_modes12_seed1_eager_fp16_native.json,failed,,null,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,null,,,,,,,,,,RuntimeError,fft_fp16_non_power_of_two_size_2072,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[2072]"
burgers_fno_base_modes12_seed1_eager_fp32_strict,burgers_fno_base_modes12,1,eager,fp32_strict,results/jetson_fno_precision/burgers_fno_base_modes12_seed1_eager_fp32_strict.json,success,burgers,[2048],124945,artifacts/benchmark_inputs/burgers_r2048_bank.pt,"[1, 2048]",torch.float32,4.936387937826415,4.894654965028167,5.114533938467503,5.688313860446215,4.8954549711197615,0.02234878121693449,11.32958984375,24.0,,,
burgers_fno_base_modes12_seed1_eager_tf32,burgers_fno_base_modes12,1,eager,tf32,results/jetson_fno_precision/burgers_fno_base_modes12_seed1_eager_tf32.json,success,burgers,[2048],124945,artifacts/benchmark_inputs/burgers_r2048_bank.pt,"[1, 2048]",torch.float32,4.751312613176803,4.717417526990175,4.9749137833714485,5.163175985217094,4.717641277238727,0.013408135308603996,11.32958984375,24.0,,,
burgers_fno_base_modes12_seed1_torchscript_bf16_autocast,burgers_fno_base_modes12,1,torchscript,bf16_autocast,results/jetson_fno_precision/burgers_fno_base_modes12_seed1_torchscript_bf16_autocast.json,failed,,null,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,null,,,,,,,,,,RuntimeError,fft_bf16_unsupported,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE"
burgers_fno_base_modes12_seed1_torchscript_fp16_autocast,burgers_fno_base_modes12,1,torchscript,fp16_autocast,results/jetson_fno_precision/burgers_fno_base_modes12_seed1_torchscript_fp16_autocast.json,failed,,null,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,null,,,,,,,,,,RuntimeError,fft_fp16_non_power_of_two_size_2072,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE"
burgers_fno_base_modes12_seed1_torchscript_fp16_native,burgers_fno_base_modes12,1,torchscript,fp16_native,results/jetson_fno_precision/burgers_fno_base_modes12_seed1_torchscript_fp16_native.json,failed,,null,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,null,,,,,,,,,,RuntimeError,fft_fp16_non_power_of_two_size_2072,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE"
burgers_fno_base_modes12_seed1_torchscript_fp32_strict,burgers_fno_base_modes12,1,torchscript,fp32_strict,results/jetson_fno_precision/burgers_fno_base_modes12_seed1_torchscript_fp32_strict.json,success,burgers,[2048],124945,artifacts/benchmark_inputs/burgers_r2048_bank.pt,"[1, 2048]",torch.float32,3.4553480815763273,3.429007949307561,3.5146428272128105,3.991458099335432,3.4236633218824863,0.015986007997758393,10.93408203125,24.0,,,
burgers_fno_base_modes12_seed1_torchscript_tf32,burgers_fno_base_modes12,1,torchscript,tf32,results/jetson_fno_precision/burgers_fno_base_modes12_seed1_torchscript_tf32.json,success,burgers,[2048],124945,artifacts/benchmark_inputs/burgers_r2048_bank.pt,"[1, 2048]",torch.float32,3.2851157911742725,3.2388418912887573,3.315947949886322,4.560660105198622,3.238826058804989,0.0027087989539813424,10.93408203125,24.0,,,
