"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","GPU Speed Of Light Throughput","SM Frequency","Mhz","994.70","997.90","995.98"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","85,878.00","87,081.00","86,318.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","GPU Speed Of Light Throughput","Memory Throughput","%","69.47","69.79","69.58"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","GPU Speed Of Light Throughput","Duration","us","86.18","87.49","86.67"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","73.46","73.57","73.51"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","GPU Speed Of Light Throughput","L2 Cache Throughput","%","57.62","58.51","58.21"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","GPU Speed Of Light Throughput","SM Active Cycles","cycle","76,021.62","76,257.75","76,147.96"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","67.97","68.27","68.15"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Launch Statistics","Block Size","","256.00","256.00","256.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Launch Statistics","Grid Size","","171.00","171.00","171.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Launch Statistics","Registers Per Thread","register/thread","57.00","57.00","57.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Launch Statistics","Shared Memory Configuration Size","Kbyte","102.40","102.40","102.40"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Launch Statistics","Driver Shared Memory Per Block","Kbyte/block","1.02","1.02","1.02"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Launch Statistics","Dynamic Shared Memory Per Block","byte/block","0.00","0.00","0.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Launch Statistics","Static Shared Memory Per Block","Kbyte/block","16.38","16.38","16.38"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Launch Statistics","# SMs","SM","8.00","8.00","8.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Launch Statistics","Threads","thread","43,776.00","43,776.00","43,776.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Launch Statistics","Uses Green Context","","0.00","0.00","0.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Launch Statistics","Waves Per SM","","5.34","5.34","5.34"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Memory Workload Analysis","Mem Busy","%","69.47","69.79","69.58"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Memory Workload Analysis","Max Bandwidth","%","57.62","58.51","58.21"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Memory Workload Analysis","L1/TEX Hit Rate","%","28.51","28.87","28.75"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Memory Workload Analysis","L2 Compression Success Rate","%","0.00","0.00","0.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Memory Workload Analysis","L2 Compression Ratio","","0.00","0.00","0.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Memory Workload Analysis","L2 Hit Rate","%","85.19","86.35","85.95"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Memory Workload Analysis","Mem Pipes Busy","%","40.92","41.10","41.02"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Occupancy","Block Limit SM","block","16.00","16.00","16.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Occupancy","Block Limit Registers","block","4.00","4.00","4.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Occupancy","Block Limit Shared Mem","block","5.00","5.00","5.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Occupancy","Block Limit Warps","block","6.00","6.00","6.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Occupancy","Theoretical Active Warps per SM","warp","32.00","32.00","32.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Occupancy","Theoretical Occupancy","%","66.67","66.67","66.67"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Occupancy","Achieved Occupancy","%","62.39","62.55","62.47"
"2241575","python3.10","127.0.0.1","ampere_sgemm_128x32_nn","(256, 1, 1)","(57, 3, 1)","0","8.7","3","Occupancy","Achieved Active Warps Per SM","warp","29.95","30.02","29.98"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","GPU Speed Of Light Throughput","SM Frequency","Mhz","995.42","998.66","997.09"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","40,207.00","40,873.00","40,490.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","GPU Speed Of Light Throughput","Memory Throughput","%","51.30","51.89","51.63"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","GPU Speed Of Light Throughput","Duration","us","40.32","40.93","40.61"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","55.93","56.97","56.30"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","GPU Speed Of Light Throughput","L2 Cache Throughput","%","31.05","31.52","31.31"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","GPU Speed Of Light Throughput","SM Active Cycles","cycle","34,449.62","35,143.00","34,886.46"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","53.75","54.32","54.09"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","Launch Statistics","Block Size","","256.00","256.00","256.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","Launch Statistics","Grid Size","","114.00","114.00","114.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","Launch Statistics","Registers Per Thread","register/thread","57.00","57.00","57.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","Launch Statistics","Shared Memory Configuration Size","Kbyte","102.40","102.40","102.40"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","Launch Statistics","Driver Shared Memory Per Block","Kbyte/block","1.02","1.02","1.02"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","Launch Statistics","Dynamic Shared Memory Per Block","byte/block","0.00","0.00","0.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","Launch Statistics","Static Shared Memory Per Block","Kbyte/block","16.38","16.38","16.38"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","Launch Statistics","# SMs","SM","8.00","8.00","8.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","Launch Statistics","Threads","thread","29,184.00","29,184.00","29,184.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","Launch Statistics","Uses Green Context","","0.00","0.00","0.00"
"2241575","python3.10","127.0.0.1","ampere_sgemm_32x128_tn","(256, 1, 1)","(2, 57, 1)","0","8.7","3","Launch Statistics","Waves Per SM","","3.56","3.56","3.56"
