Generating SQLite file results/jetson_fno_profile_nsys/darcy_base_r281_ts_fp32.sqlite from results/jetson_fno_profile_nsys/darcy_base_r281_ts_fp32.nsys-rep
Processing [results/jetson_fno_profile_nsys/darcy_base_r281_ts_fp32.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)   Style                   Range                
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  -------  -------------------------------------
     65.7      972,905,568          1  972,905,568.0  972,905,568.0  972,905,568  972,905,568          0.0  PushPop  :darcy_base_r281_ts_fp32_warmup      
     18.2      269,307,008          1  269,307,008.0  269,307,008.0  269,307,008  269,307,008          0.0  PushPop  :darcy_base_r281_ts_fp32_timed_region
     11.7      173,170,208          1  173,170,208.0  173,170,208.0  173,170,208  173,170,208          0.0  PushPop  :load_torchscript_model              
      4.2       62,327,328          8    7,790,916.0    7,751,312.0    7,585,536    8,093,600    202,690.6  PushPop  :forward                             
      0.1        2,024,864          1    2,024,864.0    2,024,864.0    2,024,864    2,024,864          0.0  PushPop  :load_input_bank                     

Processing [results/jetson_fno_profile_nsys/darcy_base_r281_ts_fp32.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)     Med (ns)    Min (ns)    Max (ns)    StdDev (ns)           Name         
 --------  ---------------  ---------  ------------  -----------  ---------  -----------  ------------  ---------------------
     43.7      314,167,072         10  31,416,707.2  3,729,952.0     22,816  263,585,280  82,006,455.0  poll                 
     43.1      310,138,752      1,712     181,155.8      2,880.0        992   48,375,840   2,105,520.7  ioctl                
      7.9       56,698,688      2,002      28,321.0      4,256.0        992    1,914,592     194,411.9  read                 
      2.1       15,057,344         95     158,498.4      7,104.0      1,216    1,946,976     496,231.0  fread                
      1.6       11,670,336        997      11,705.5     11,104.0      7,264      120,576       4,246.6  open64               
      0.7        5,063,264          1   5,063,264.0  5,063,264.0  5,063,264    5,063,264           0.0  nanosleep            
      0.2        1,584,000         76      20,842.1      9,504.0      3,104      326,400      40,234.5  mmap                 
      0.2        1,369,888         56      24,462.3      8,512.0      3,552      236,320      52,342.9  open                 
      0.2        1,106,368         82      13,492.3     11,104.0      1,984       76,288       9,741.7  fopen                
      0.1          726,336         10      72,633.6     31,568.0     16,416      407,712     119,277.1  sem_wait             
      0.1          508,608         41      12,405.1     11,872.0      4,960       19,296       4,009.3  mmap64               
      0.0          286,624         15      19,108.3      4,640.0      2,784      177,632      45,033.7  write                
      0.0          229,152         90       2,546.1      2,320.0        992       10,208       1,628.9  fcntl                
      0.0          211,936         56       3,784.6      3,392.0      1,152       14,944       2,748.1  fclose               
      0.0          125,792          1     125,792.0    125,792.0    125,792      125,792           0.0  pthread_create       
      0.0          104,640          7      14,948.6      3,360.0      1,536       49,920      18,826.3  fgets                
      0.0           50,016          5      10,003.2      7,104.0      4,384       19,808       6,554.0  fopen64              
      0.0           25,024          1      25,024.0     25,024.0     25,024       25,024           0.0  socket               
      0.0           24,192          2      12,096.0     12,096.0      6,752       17,440       7,557.6  munmap               
      0.0           22,208          1      22,208.0     22,208.0     22,208       22,208           0.0  connect              
      0.0           17,824          4       4,456.0      4,128.0      1,024        8,544       3,248.7  signal               
      0.0           15,424          1      15,424.0     15,424.0     15,424       15,424           0.0  pipe2                
      0.0            8,864          1       8,864.0      8,864.0      8,864        8,864           0.0  fwrite               
      0.0            7,872          3       2,624.0      2,560.0      1,216        4,096       1,441.1  sigaction            
      0.0            5,728          4       1,432.0      1,424.0      1,120        1,760         311.8  pthread_cond_signal  
      0.0            3,744          3       1,248.0      1,216.0      1,088        1,440         178.2  fflush               
      0.0            3,040          2       1,520.0      1,520.0      1,344        1,696         248.9  dup                  
      0.0            2,976          2       1,488.0      1,488.0      1,088        1,888         565.7  pthread_mutex_trylock

Processing [results/jetson_fno_profile_nsys/darcy_base_r281_ts_fp32.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                Name             
 --------  ---------------  ---------  ------------  -----------  --------  ----------  ------------  ------------------------------
     63.7      254,076,384         20  12,703,819.2     18,208.0     5,408  48,449,184  15,216,990.3  cudaDeviceSynchronize         
     17.4       69,304,896        619     111,962.7     22,528.0    13,568  11,092,128     811,358.4  cudaLaunchKernel              
      4.1       16,514,432          5   3,302,886.4  4,710,336.0   920,128   5,066,688   2,135,848.1  cuLibraryLoadData             
      3.9       15,372,576         35     439,216.5    348,800.0    97,472   1,352,640     380,987.2  cuModuleLoadData              
      2.9       11,744,736         16     734,046.0    858,656.0     7,808   1,631,456     519,660.9  cudaMalloc                    
      2.2        8,814,752        566      15,573.8     13,472.0     6,560      74,336       7,968.0  cuLaunchKernel                
      1.5        5,802,720         55     105,504.0      2,080.0     1,728   5,410,848     729,136.5  cuKernelGetFunction           
      1.4        5,684,288         71      80,060.4     40,224.0    15,712     405,376     107,847.1  cudaMemcpyAsync               
      0.8        3,212,736          2   1,606,368.0  1,606,368.0    35,136   3,177,600   2,222,057.6  cudaFree                      
      0.8        3,101,888         27     114,884.7     44,128.0     3,424     425,856     150,024.0  cudaStreamSynchronize         
      0.4        1,741,440         16     108,840.0     15,072.0    12,896   1,480,704     365,888.3  cuMemcpyHtoD_v2               
      0.2          850,656         13      65,435.1     43,200.0    33,216     187,584      45,630.5  cuLibraryUnload               
      0.1          573,056          1     573,056.0    573,056.0   573,056     573,056           0.0  cuMemAlloc_v2                 
      0.1          535,808      1,666         321.6        224.0       128       7,520         332.5  cuGetProcAddress_v2           
      0.1          491,776          1     491,776.0    491,776.0   491,776     491,776           0.0  cuMemFree_v2                  
      0.1          463,520         16      28,970.0      2,944.0     2,240     374,720      92,833.6  cudaStreamCreateWithFlags     
      0.1          248,480          1     248,480.0    248,480.0   248,480     248,480           0.0  cudaHostAlloc                 
      0.0           82,688          3      27,562.7     29,344.0    20,992      32,352       5,885.8  cuMemGetInfo_v2               
      0.0           67,552         11       6,141.1      6,368.0     3,296       8,544       1,797.4  cudaStreamIsCapturing_v10000  
      0.0           60,832         19       3,201.7        832.0       640      23,296       5,507.6  cudaEventCreateWithFlags      
      0.0           50,688         88         576.0        560.0       320       1,120         199.1  cuStreamIsCapturing           
      0.0           38,528          2      19,264.0     19,264.0     6,080      32,448      18,645.0  cudaMemsetAsync               
      0.0           33,088          6       5,514.7      5,328.0     4,608       7,008         902.1  cuInit                        
      0.0           21,216          8       2,652.0      2,304.0     1,536       4,128         952.1  cuLibraryGetKernel            
      0.0            4,288          5         857.6        480.0       288       2,432         888.9  cuModuleGetLoadingMode        
      0.0            3,136          2       1,568.0      1,568.0       896       2,240         950.4  cudaGetDriverEntryPoint_v11030

Processing [results/jetson_fno_profile_nsys/darcy_base_r281_ts_fp32.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     15.9       54,921,120         88    624,103.6    535,328.0    528,096    946,624    150,397.7  void prime_fft_factor<(unsigned int)29, EPT<(unsigned int)2>, (unsigned int)8, (unsigned int)0, (un…
     10.5       36,166,368         88    410,981.5    410,208.0    407,360    418,880      2,364.5  void vector_fft<(unsigned int)145, EPT<(unsigned int)29>, (unsigned int)4, (unsigned int)0, (paddin…
      9.7       33,559,744         40    838,993.6    507,728.0    504,768  1,850,560    580,509.7  fused_add_gelu                                                                                      
      9.6       33,213,824         88    377,429.8    376,848.0    373,888    380,544      1,771.0  void regular_fft_factor<(unsigned int)2, EPT<(unsigned int)2>, (unsigned int)256, (unsigned int)0, …
      7.6       26,228,416         69    380,122.0    353,728.0      9,024  1,817,920    288,724.9  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      7.4       25,772,832         88    292,873.1    289,872.0    286,880    346,656      9,568.7  void regular_fft_factor<(unsigned int)5, EPT<(unsigned int)5>, (unsigned int)256, (unsigned int)0, …
      5.3       18,486,560         11  1,680,596.4  1,674,688.0  1,669,184  1,717,504     13,779.1  void kernel_wrapper<unsigned int, &packR2C_kernel_impl<unsigned int, float>>(RealComplex_st<T1>)    
      4.3       15,041,056         44    341,842.2    272,880.0    270,016    541,888    107,187.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::complex<float>>…
      3.7       12,682,048         44    288,228.4    286,816.0    284,992    308,448      4,243.4  void preprocess_kernel<float, unsigned int, (loadstore_modifier_t)2>(real_complex_args_t<T2>)       
      3.6       12,617,888         44    286,770.2    286,416.0    283,296    296,192      2,275.9  void postprocess_kernel<float, unsigned int, (loadstore_modifier_t)2>(real_complex_args_t<T2>)      
      3.6       12,519,424        264     47,422.1      9,664.0      6,144    159,264     56,141.4  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      3.6       12,460,992         44    283,204.4    282,016.0    279,904    304,320      3,986.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      2.9        9,890,816         33    299,721.7    298,720.0    296,576    317,568      4,054.6  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4>(T1::Params)              
      2.3        8,117,568         15    541,171.2    628,832.0    284,736    648,672    157,828.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluCUDAKernelImpl(at::TensorIte…
      2.2        7,566,688         22    343,940.4    348,512.0    332,736    363,808      9,216.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      2.1        7,118,816         11    647,165.1    641,248.0    631,168    704,480     20,546.0  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x128_16x3_nn_align1>(T1::Params)             
      1.3        4,491,520         88     51,040.0     50,608.0     48,992     67,936      2,839.0  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float2, float2, float2, float2, (…
      1.2        4,101,152         11    372,832.0    367,104.0    364,832    431,808     19,617.8  void gemvNSP_kernel<float, float, float, float, (int)1, (int)4, (int)4, (int)1024, (bool)0, cublasG…
      1.1        3,849,056         11    349,914.2    345,952.0    343,936    387,200     12,462.1  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align4>(T1::Params)               
