Generating SQLite file results/jetson_fno_profile_nsys_extended/darcy_r141_ts_fp32.sqlite from results/jetson_fno_profile_nsys_extended/darcy_r141_ts_fp32.nsys-rep
Processing [results/jetson_fno_profile_nsys_extended/darcy_r141_ts_fp32.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)   Style                Range              
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  -------  --------------------------------
     65.3       1648995776          1  1648995776.0  1648995776.0  1648995776  1648995776          0.0  PushPop  :darcy_r141_ts_fp32_warmup      
     14.1        357292960          1   357292960.0   357292960.0   357292960   357292960          0.0  PushPop  :load_torchscript_model         
     11.5        290298656          1   290298656.0   290298656.0   290298656   290298656          0.0  PushPop  :darcy_r141_ts_fp32_timed_region
      8.9        225796960         30     7526565.3     7415056.0     6942208     8569600     483279.9  PushPop  :forward                        
      0.2          4004736          1     4004736.0     4004736.0     4004736     4004736          0.0  PushPop  :load_input_bank                

Processing [results/jetson_fno_profile_nsys_extended/darcy_r141_ts_fp32.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)   Min (ns)  Max (ns)   StdDev (ns)           Name         
 --------  ---------------  ---------  ----------  ----------  --------  ---------  -----------  ----------------------
     54.6        550984544         10  55098454.4  11162992.0     20000  420887424  129756837.8  poll                  
     29.4        296568064       1679    176633.7      4928.0       992   50577408    1424582.9  ioctl                 
     10.0        101262304       2116     47855.5      4704.0       992    4503744     366666.3  read                  
      3.5         35418880         55    643979.6     10784.0      1184    5183104    1567708.0  fread                 
      1.3         12755072        998     12780.6     11904.0      7456     124608       5289.1  open64                
      0.5          5061696          1   5061696.0   5061696.0   5061696    5061696          0.0  nanosleep             
      0.2          1636576         56     29224.6     10064.0      4576     277696      62182.1  open                  
      0.1          1487584         76     19573.5     11824.0      3168      71616      17294.9  mmap                  
      0.1          1401120         10    140112.0     69984.0     11520     911776     273321.1  sem_wait              
      0.1          1027104         54     19020.4     16048.0      2464      87776      15736.4  fopen                 
      0.1           605120         42     14407.6     15008.0      6528      33152       5039.9  mmap64                
      0.0           265056         93      2850.1      2080.0      1024      15104       2563.6  fcntl                 
      0.0           177632         15     11842.1      7552.0      2528      70144      17186.5  write                 
      0.0           174400         28      6228.6      4960.0      1536      18656       4381.1  fclose                
      0.0           132416          1    132416.0    132416.0    132416     132416          0.0  pthread_create        
      0.0           129312          7     18473.1      4128.0      1184      65504      24455.4  fgets                 
      0.0            63040          5     12608.0      8896.0      7072      21152       6446.8  fopen64               
      0.0            50592         11      4599.3      1248.0       992      33056       9540.7  pthread_cond_signal   
      0.0            38304          5      7660.8      3200.0      1024      27392      11137.6  sigaction             
      0.0            35008          1     35008.0     35008.0     35008      35008          0.0  socket                
      0.0            32192          1     32192.0     32192.0     32192      32192          0.0  connect               
      0.0            29632          2     14816.0     14816.0      8000      21632       9639.3  munmap                
      0.0            22656          5      4531.2      4832.0      1024       8224       3429.2  signal                
      0.0            16672          1     16672.0     16672.0     16672      16672          0.0  pipe2                 
      0.0             8416          1      8416.0      8416.0      8416       8416          0.0  fwrite                
      0.0             6016          4      1504.0      1536.0       992       1952        458.5  fflush                
      0.0             4960          3      1653.3      1312.0      1152       2496        734.1  dup                   
      0.0             3552          2      1776.0      1776.0      1184       2368        837.2  pthread_mutex_trylock 
      0.0             3456          3      1152.0      1152.0      1088       1216         64.0  pthread_cond_broadcast

Processing [results/jetson_fno_profile_nsys_extended/darcy_r141_ts_fp32.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)               Name             
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ------------------------------
     37.4        170438880       2814    60568.2    23008.0     15168  25649536     754651.8  cudaLaunchKernel              
     24.2        110339328         64  1724052.0    18016.0      6880  50690112    6301423.2  cudaDeviceSynchronize         
      8.0         36222304          9  4024700.4  1790816.0     10496  10048608    4411724.8  cudaMalloc                    
      7.8         35524480          7  5074925.7    29376.0     20736  35341728   13346408.2  cuMemcpyHtoD_v2               
      5.6         25562400       1294    19754.6    20576.0     10560    123776       6262.1  cuLaunchKernel                
      4.4         20260096          5  4052019.2  5509280.0   1352032   6298304    2480691.6  cuLibraryLoadData             
      3.1         14079552        227    62024.5    39360.0     15360    673920     108670.3  cudaMemcpyAsync               
      2.9         13349312         12  1112442.7   873584.0    747168   1930464     414920.7  cuModuleLoadData              
      1.9          8722240        200    43611.2     2016.0      1632   8183872     578554.8  cuKernelGetFunction           
      1.3          6115520         27   226500.7    28512.0     13120    650784     264202.9  cudaStreamSynchronize         
      1.1          5096800          2  2548400.0  2548400.0    411808   4684992    3021597.4  cudaFree                      
      0.8          3593952          1  3593952.0  3593952.0   3593952   3593952          0.0  cuMemAlloc_v2                 
      0.4          1870752         16   116922.0     4784.0      3264   1719168     427685.6  cudaStreamCreateWithFlags     
      0.3          1420576          1  1420576.0  1420576.0   1420576   1420576          0.0  cudaHostAlloc                 
      0.3          1280384         13    98491.1    83744.0     45760    193632      46395.4  cuLibraryUnload               
      0.1           664480          1   664480.0   664480.0    664480    664480          0.0  cuMemFree_v2                  
