field,value
run_ts,20260715_092846
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260715_092846
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260715_092846/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_checkpoint_name,best_model_spectral.pth
model_params,1584782
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,3
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,0
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.389164447784424
single_sample_latency_ms,30148.909330368042
avg_latency_ms,29358.18362236023
p50_latency_ms,28963.178396224976
p95_latency_ms,30030.336236953735
total_inference_time_s,88.08844137191772
inference_start_wall_s,1784078934.8902116
inference_end_wall_s,1784079022.978653
inference_elapsed_wall_s,88.08844137191772
latency_s_per_iteration,29.36281379063924
avg_total_loss,0.045551793184131384
avg_pressure_loss,0.005727538683762153
avg_vx_loss,0.010267022686700026
avg_vy_loss,0.009425988731284937
avg_vz_loss,0.007317650131881237
peak_gpu_mem_mb,0.0
cuda_peak_alloc_mb,0.0
cuda_peak_reserved_mb,0.0
cuda_mem_get_info_peak_used_mb,5250.38671875
cuda_mem_get_info_delta_from_program_start_mb,531.21875
cuda_mem_get_info_delta_from_after_model_load_mb,434.83203125
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2900.73828125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4719.16796875}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2658.81640625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4961.08984375}, {""tag"": ""after_audit_tensor_cleanup"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2869.5546875, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4750.3515625}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2804.3515625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4815.5546875}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2804.3515625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4815.5546875}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2804.3515625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4815.5546875}, {""tag"": ""after_first_sample_tensors_to_device_before_forward"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2804.3515625, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 4815.5546875}, {""tag"": ""after_first_sample_forward_decode_before_loss"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2566.86328125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 5053.04296875}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2400.75, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 5219.15625}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2369.51953125, ""mem_get_info_total_mb"": 7619.90625, ""mem_get_info_used_mb"": 5250.38671875}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260715_092846/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260715_092846/outputs/virso_targets.npy
predictions_shape,"(3, 3977, 4)"
targets_shape,"(3, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260715_092846/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260715_092846/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260715_092846/logs/virso_inference_20260715_092846.log
amp_mode,off
amp_resolved_dtype,None
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
