field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.483469724655151
single_sample_latency_ms,588.2866382598877
avg_latency_ms,84.77757823082709
p50_latency_ms,81.73584938049316
p95_latency_ms,95.19963264465333
total_inference_time_s,26.4438898563385
latency_s_per_iteration,0.08530287050431774
throughput_samples_per_s,11.722934926901239
throughput_from_latency_samples_per_s,11.795571669637255
avg_total_loss,0.04850932378772526
avg_pressure_loss,0.004951189408799813
avg_vx_loss,0.010772064280125403
avg_vy_loss,0.01048137023744564
avg_vz_loss,0.009120474734734143
avg_power_w,15.763193798449613
median_power_w,16.093
peak_power_w,16.636
energy_j_total,414.63401303124436
energy_j_per_sample_est,1.3363653954157504
energy_j_per_sample_from_total,1.3375290742943367
edp_j_s,0.11329382185482895
avg_gpu_util_pct,89.24031007751938
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,34.19121447028424
avg_ram_used_mb,4711.15503875969
peak_ram_used_mb,4774.0
ram_total_mb,7620.0
max_temp_c,64.312
peak_gpu_mem_mb,85.892578125
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_ampfp16_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_ampfp16_r1/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_ampfp16_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_ampfp16_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_ampfp16_r1/logs/tegrastats_s7_full_ampfp16_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_ampfp16_r1/logs/virso_inference_s7_full_ampfp16_r1.log
Tegrastats_time_stamps_count,129
amp_mode,fp16
amp_resolved_dtype,torch.float16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,150.4609375
cuda_mem_get_info_delta_from_program_start_mb,926.28515625
cuda_mem_get_info_peak_used_mb,4772.98046875
