field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.380852937698364
single_sample_latency_ms,506.56819343566895
avg_latency_ms,85.17330077386671
p50_latency_ms,82.7035903930664
p95_latency_ms,97.139573097229
total_inference_time_s,26.56398320198059
latency_s_per_iteration,0.08569026839348577
throughput_samples_per_s,11.669936607130765
throughput_from_latency_samples_per_s,11.740768420552099
avg_total_loss,0.04205924066895198
avg_pressure_loss,0.004750879427358028
avg_vx_loss,0.00889648013718186
avg_vy_loss,0.00871052802089722
avg_vz_loss,0.007234762162871418
avg_power_w,16.27060465116279
median_power_w,16.595
peak_power_w,16.879
energy_j_total,428.5118006572719
energy_j_per_sample_est,1.3858211037261632
energy_j_per_sample_from_total,1.3822961311524902
edp_j_s,0.11803495768644044
avg_gpu_util_pct,91.24031007751938
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,31.856589147286822
avg_ram_used_mb,4907.434108527132
peak_ram_used_mb,5259.0
ram_total_mb,7620.0
max_temp_c,59.375
peak_gpu_mem_mb,108.9375
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/logs/tegrastats_s7_full_fp32_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/s7_full_fp32_r1/logs/virso_inference_s7_full_fp32_r1.log
Tegrastats_time_stamps_count,129
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,307.828125
cuda_mem_get_info_delta_from_program_start_mb,1078.8125
cuda_mem_get_info_peak_used_mb,5245.93359375
