field,value
Tegrastats_time_stamps_count,27
elapsed_s,5.3459999561309814
mean_dt_s,0.20561538292811468
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
avg_power_w,10.389777777777777
median_power_w,10.854
peak_power_w,11.182
energy_j_total,55.388628301382056
avg_gpu_util_pct,67.96296296296296
peak_gpu_util_pct,95.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,41.98148148148148
avg_ram_used_mb,4476.592592592592
peak_ram_used_mb,4492.0
ram_total_mb,7620.0
max_temp_c,59.875
