field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.348020076751709
single_sample_latency_ms,975.4858016967773
avg_latency_ms,612.369353540482
p50_latency_ms,630.2498579025269
p95_latency_ms,673.7316608428955
total_inference_time_s,190.6382029056549
latency_s_per_iteration,0.6149619448569513
throughput_samples_per_s,1.6261168814805507
throughput_from_latency_samples_per_s,1.6330013809776533
avg_total_loss,0.04850590444590536
avg_pressure_loss,0.004950408578940457
avg_vx_loss,0.0107696614228189
avg_vy_loss,0.010477444141983025
avg_vz_loss,0.009122411426036588
avg_power_w,6.983791351351352
median_power_w,6.965
peak_power_w,8.065
energy_j_total,1330.0897867298172
energy_j_per_sample_est,4.276659795088637
energy_j_per_sample_from_total,4.290612215257475
edp_j_s,2.618895394030999
avg_gpu_util_pct,43.07783783783784
peak_gpu_util_pct,98.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,21.652072072072073
avg_ram_used_mb,5665.782702702702
peak_ram_used_mb,5754.0
ram_total_mb,7620.0
max_temp_c,46.187
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_ampfp16_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_ampfp16_r2/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_ampfp16_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_ampfp16_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_ampfp16_r2/logs/tegrastats_bench2_full_ampfp16_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_ampfp16_r2/logs/virso_inference_bench2_full_ampfp16_r2.log
Tegrastats_time_stamps_count,925
amp_mode,fp16
amp_resolved_dtype,torch.float16
collab_skip,1
elapsed_s,190.45600008964539
embed,1
inference_elapsed_wall_s,190.6382029056549
inference_end_wall_s,1779657922.0308933
inference_start_wall_s,1779657731.3926904
k_neighbors,30
max_mode,64
mean_dt_s,0.20612121221823093
model_checkpoint_name,sp2gno_final.pth
num_layers,10
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_ampfp16_r2/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_ampfp16_r2
run_ts,bench2_full_ampfp16_r2
spatial,1
spectral,1
spectral_skip,1
width,48
