field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.554893493652344
single_sample_latency_ms,941.2317276000977
avg_latency_ms,653.2788107472081
p50_latency_ms,660.7773303985596
p95_latency_ms,706.8166017532349
total_inference_time_s,203.02944445610046
latency_s_per_iteration,0.6549336917938725
throughput_samples_per_s,1.5268721284760693
throughput_from_latency_samples_per_s,1.5307399896473277
avg_total_loss,0.04205924392107033
avg_pressure_loss,0.004750878757406627
avg_vx_loss,0.008896482318279244
avg_vy_loss,0.008710528165102005
avg_vz_loss,0.0072347636484811385
avg_power_w,7.457987817258883
median_power_w,7.418
peak_power_w,8.71
energy_j_total,1512.335962739228
energy_j_per_sample_est,4.87214541182605
energy_j_per_sample_from_total,4.878503105610413
edp_j_s,3.182869360425189
avg_gpu_util_pct,44.115736040609136
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,21.695262267343487
avg_ram_used_mb,5577.251776649746
peak_ram_used_mb,5645.0
ram_total_mb,7620.0
max_temp_c,52.312
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_r3/logs/tegrastats_bench2_full_fp32_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_r3/logs/virso_inference_bench2_full_fp32_r3.log
Tegrastats_time_stamps_count,985
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
elapsed_s,202.77999997138977
embed,1
inference_elapsed_wall_s,203.02944445610046
inference_end_wall_s,1779660030.753964
inference_start_wall_s,1779659827.7245195
k_neighbors,30
max_mode,64
mean_dt_s,0.2060772357432823
model_checkpoint_name,sp2gno_final.pth
num_layers,10
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_r3/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_full_fp32_r3
run_ts,bench2_full_fp32_r3
spatial,1
spectral,1
spectral_skip,1
width,48
