field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.026793003082275
single_sample_latency_ms,554.1477203369141
avg_latency_ms,109.23088058348625
p50_latency_ms,114.21465873718262
p95_latency_ms,118.78219842910767
total_inference_time_s,34.418458223342896
latency_s_per_iteration,0.1110272845914287
throughput_samples_per_s,9.006795074561339
throughput_from_latency_samples_per_s,9.154920244698475
avg_total_loss,0.10075826691163163
avg_pressure_loss,0.013766354316424938
avg_vx_loss,0.021080170211292083
avg_vy_loss,0.02229195311665535
avg_vz_loss,0.018061628655320214
avg_power_w,8.495724550898203
median_power_w,8.381
peak_power_w,9.271
energy_j_total,290.44149395108207
energy_j_per_sample_est,0.9279954738893539
energy_j_per_sample_from_total,0.9369080450034906
edp_j_s,0.10136576279042374
avg_gpu_util_pct,37.958083832335326
peak_gpu_util_pct,73.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,39.13972055888224
avg_ram_used_mb,5590.425149700599
peak_ram_used_mb,5742.0
ram_total_mb,7620.0
max_temp_c,55.625
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r1/logs/tegrastats_bench2_layer2_ampfp16_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r1/logs/virso_inference_bench2_layer2_ampfp16_r1.log
Tegrastats_time_stamps_count,167
amp_mode,fp16
amp_resolved_dtype,torch.float16
collab_skip,1
elapsed_s,34.18299984931946
embed,1
inference_elapsed_wall_s,34.418458223342896
inference_end_wall_s,1781155969.020638
inference_start_wall_s,1781155934.6021798
k_neighbors,30
max_mode,40
mean_dt_s,0.20592168583927384
model_checkpoint_name,best_model_2_layer.pth
num_layers,2
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r1/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_ampfp16_r1
run_ts,bench2_layer2_ampfp16_r1
spatial,1
spectral,1
spectral_skip,1
width,48
