field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.512076377868652
single_sample_latency_ms,510.4033946990967
avg_latency_ms,147.6690484631446
p50_latency_ms,144.52683925628662
p95_latency_ms,160.6991410255432
total_inference_time_s,46.27225375175476
latency_s_per_iteration,0.14926533468307987
throughput_samples_per_s,6.699479166567373
throughput_from_latency_samples_per_s,6.771899801667518
avg_total_loss,0.0977635639990049
avg_pressure_loss,0.013654747370991014
avg_vx_loss,0.020090352137002252
avg_vy_loss,0.021417005774715253
avg_vz_loss,0.017334999396435676
avg_power_w,7.509684444444444
median_power_w,7.501
peak_power_w,7.777
energy_j_total,346.70273074817675
energy_j_per_sample_est,1.1089479561695899
energy_j_per_sample_from_total,1.1183959056392798
edp_j_s,0.16375728948271231
avg_gpu_util_pct,43.07555555555555
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,22.596296296296295
avg_ram_used_mb,5567.697777777777
peak_ram_used_mb,5632.0
ram_total_mb,7620.0
max_temp_c,49.375
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_fp32_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_fp32_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_fp32_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_fp32_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_fp32_r3/logs/tegrastats_bench2_layer2_fp32_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_fp32_r3/logs/virso_inference_bench2_layer2_fp32_r3.log
Tegrastats_time_stamps_count,225
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
elapsed_s,46.16499996185303
embed,1
inference_elapsed_wall_s,46.27225375175476
inference_end_wall_s,1779658579.823166
inference_start_wall_s,1779658533.5509121
k_neighbors,30
max_mode,40
mean_dt_s,0.20609374982970102
model_checkpoint_name,best_model_2_layer.pth
num_layers,2
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_fp32_r3/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_layer2_fp32_r3
run_ts,bench2_layer2_fp32_r3
spatial,1
spectral,1
spectral_skip,1
width,48
