field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_params,1584782
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.17825722694397
single_sample_latency_ms,371.14906311035156
avg_latency_ms,58.35508300412086
p50_latency_ms,57.27183818817139
p95_latency_ms,60.222482681274414
total_inference_time_s,18.528724193572998
latency_s_per_iteration,0.05977007804378386
throughput_samples_per_s,16.730779559422054
throughput_from_latency_samples_per_s,17.136467785152206
avg_total_loss,0.050699878064915535
avg_pressure_loss,0.005734730756751472
avg_vx_loss,0.01146003098918065
avg_vy_loss,0.011004457869116337
avg_vz_loss,0.008961465047492135
avg_power_w,8.151111111111112
median_power_w,8.176
peak_power_w,8.258
energy_j_total,149.22603823828698
energy_j_per_sample_est,0.4756587654647007
energy_j_per_sample_from_total,0.48137431689769994
edp_j_s,0.027757106740330266
avg_gpu_util_pct,36.48888888888889
peak_gpu_util_pct,45.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,40.855555555555554
avg_ram_used_mb,5120.533333333334
peak_ram_used_mb,5197.0
ram_total_mb,7620.0
max_temp_c,55.625
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_ampfp16_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_ampfp16_r2/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_ampfp16_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_ampfp16_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_ampfp16_r2/logs/tegrastats_bench2_spectral_ampfp16_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_ampfp16_r2/logs/virso_inference_bench2_spectral_ampfp16_r2.log
Tegrastats_time_stamps_count,90
amp_mode,fp16
amp_resolved_dtype,torch.float16
collab_skip,1
elapsed_s,18.30899977684021
embed,1
inference_elapsed_wall_s,18.528724193572998
inference_end_wall_s,1781155842.9205954
inference_start_wall_s,1781155824.3918712
k_neighbors,30
max_mode,64
mean_dt_s,0.20571909861618212
model_checkpoint_name,best_model_spectral.pth
num_layers,10
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_ampfp16_r2/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_ampfp16_r2
run_ts,bench2_spectral_ampfp16_r2
spatial,0
spectral,1
spectral_skip,1
width,48
