field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_params,1584782
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.700674295425415
single_sample_latency_ms,380.11837005615234
avg_latency_ms,77.67307296875984
p50_latency_ms,77.96084880828857
p95_latency_ms,83.33953619003296
total_inference_time_s,24.499141931533813
latency_s_per_iteration,0.07902949010172199
throughput_samples_per_s,12.653504390738957
throughput_from_latency_samples_per_s,12.874474535109492
avg_total_loss,0.04538138984822698
avg_pressure_loss,0.005531021428384608
avg_vx_loss,0.010204133760905074
avg_vy_loss,0.009447210438309176
avg_vz_loss,0.00727166244459729
avg_power_w,7.089924369747899
median_power_w,7.047
peak_power_w,7.418
energy_j_total,172.2848205752372
energy_j_per_sample_est,0.5506962129144172
energy_j_per_sample_from_total,0.5557574857265716
edp_j_s,0.04277426712932123
avg_gpu_util_pct,40.075630252100844
peak_gpu_util_pct,86.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,25.133053221288517
avg_ram_used_mb,5428.0
peak_ram_used_mb,5452.0
ram_total_mb,7620.0
max_temp_c,45.031
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/logs/tegrastats_bench2_spectral_fp32_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/logs/virso_inference_bench2_spectral_fp32_r1.log
Tegrastats_time_stamps_count,119
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
elapsed_s,24.306999921798706
embed,1
inference_elapsed_wall_s,24.499141931533813
inference_end_wall_s,1779658214.8503652
inference_start_wall_s,1779658190.3512232
k_neighbors,30
max_mode,64
mean_dt_s,0.205991524761006
model_checkpoint_name,best_model_spectral.pth
num_layers,10
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1
run_ts,bench2_spectral_fp32_r1
spatial,0
spectral,1
spectral_skip,1
width,48
