field,value
run_ts,bench2_spectral_fp32_r1
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_checkpoint_name,best_model_spectral.pth
model_params,1584782
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,0
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.700674295425415
single_sample_latency_ms,380.11837005615234
avg_latency_ms,77.67307296875984
p50_latency_ms,77.96084880828857
p95_latency_ms,83.33953619003296
total_inference_time_s,24.499141931533813
inference_start_wall_s,1779658190.3512232
inference_end_wall_s,1779658214.8503652
inference_elapsed_wall_s,24.499141931533813
latency_s_per_iteration,0.07902949010172199
avg_total_loss,0.04538138984822698
avg_pressure_loss,0.005531021428384608
avg_vx_loss,0.010204133760905074
avg_vy_loss,0.009447210438309176
avg_vz_loss,0.00727166244459729
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/logs/tegrastats_bench2_spectral_fp32_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/bench2_spectral_fp32_r1/logs/virso_inference_bench2_spectral_fp32_r1.log
amp_mode,off
amp_resolved_dtype,None
