field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.338569641113281
single_sample_latency_ms,863.9311790466309
avg_latency_ms,562.9177570343018
p50_latency_ms,567.6980018615723
p95_latency_ms,577.8432488441467
total_inference_time_s,177.16280460357666
latency_s_per_iteration,0.5714929180760537
throughput_samples_per_s,1.7498029605800312
avg_total_loss,0.0420592412307498
avg_pressure_loss,0.0047508789586924735
avg_vx_loss,0.008896480275378113
avg_vy_loss,0.008710528126046542
avg_vz_loss,0.007234762274029274
avg_power_w,7.579932967032967
median_power_w,7.624
peak_power_w,9.588
energy_j_total,1463.569277897123
energy_j_per_sample_est,4.266878864272558
energy_j_per_sample_from_total,4.721191219022977
avg_gpu_util_pct,32.95054945054945
peak_gpu_util_pct,79.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,19.21868131868132
avg_ram_used_mb,4997.045054945055
peak_ram_used_mb,5158.0
ram_total_mb,7620.0
max_temp_c,47.937
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934/logs/virso_inference_20260322_050934.log
collab_skip,1
elapsed_s,193.05499982833862
embed,1
k_neighbors,30
max_mode,64
mean_dt_s,0.21238173798497098
model_checkpoint_name,sp2gno_final.pth
num_layers,10
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934
run_ts,20260322_050934
sample_count,910
spatial,1
spectral,1
spectral_skip,1
width,48
