field,value
run_ts,20260324_001253
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.413994312286377
single_sample_latency_ms,428.0722141265869
avg_latency_ms,104.03252340132191
p50_latency_ms,100.85976123809814
p95_latency_ms,124.1782546043396
total_inference_time_s,35.28912115097046
latency_s_per_iteration,0.11383587468054987
avg_total_loss,0.09776356365651853
avg_pressure_loss,0.013654747238803295
avg_vx_loss,0.02009035238936063
avg_vy_loss,0.021417005420211823
avg_vz_loss,0.017334999636776986
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253/logs/virso_inference_20260324_001253.log
