field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.664752721786499
single_sample_latency_ms,753.6756992340088
avg_latency_ms,627.6226751265988
p50_latency_ms,656.0815572738647
p95_latency_ms,675.3815412521362
total_inference_time_s,195.38348174095154
latency_s_per_iteration,0.6302692959385533
throughput_samples_per_s,1.586623378996861
throughput_from_latency_samples_per_s,1.593314007971889
avg_total_loss,0.19478714387984045
avg_pressure_loss,0.011080337988753472
avg_vx_loss,0.05501150870996137
avg_vy_loss,0.05186903730275169
avg_vz_loss,0.04274575772785371
avg_power_w,8.118402105263158
median_power_w,8.024
peak_power_w,9.353
energy_j_total,1585.5127759566244
energy_j_per_sample_est,5.095293247058675
energy_j_per_sample_from_total,5.114557341795563
edp_j_s,3.197921578273459
avg_gpu_util_pct,39.15263157894737
peak_gpu_util_pct,78.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,32.78087719298246
avg_ram_used_mb,5634.7294736842105
peak_ram_used_mb,5703.0
ram_total_mb,7620.0
max_temp_c,56.031
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_bf16_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_bf16_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_bf16_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_bf16_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_bf16_r3/logs/tegrastats_completion_full_bf16_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_bf16_r3/logs/virso_inference_completion_full_bf16_r3.log
Tegrastats_time_stamps_count,950
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
collab_skip,1
elapsed_s,195.2960000038147
embed,1
inference_elapsed_wall_s,195.38348174095154
inference_end_wall_s,1781161859.0439885
inference_start_wall_s,1781161663.6605067
k_neighbors,30
max_mode,64
mean_dt_s,0.2057913593296256
model_checkpoint_name,sp2gno_final.pth
num_layers,10
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_bf16_r3/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_bf16_r3
run_ts,completion_full_bf16_r3
spatial,1
spectral,1
spectral_skip,1
width,48
