field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.477603912353516
single_sample_latency_ms,721.7550277709961
avg_latency_ms,545.6879477347097
p50_latency_ms,568.2249069213867
p95_latency_ms,578.0549168586731
total_inference_time_s,169.6296272277832
latency_s_per_iteration,0.5471923458960748
throughput_samples_per_s,1.827510942906947
throughput_from_latency_samples_per_s,1.8325491778795113
avg_total_loss,0.043695283281586825
avg_pressure_loss,0.004812043938305109
avg_vx_loss,0.009355120967713095
avg_vy_loss,0.009145124523990578
avg_vz_loss,0.007757978207401691
avg_power_w,8.49273607748184
median_power_w,8.381
peak_power_w,9.845
energy_j_total,1440.0515968656587
energy_j_per_sample_est,4.634383720773594
energy_j_per_sample_from_total,4.645327731824706
edp_j_s,2.5289273416040907
avg_gpu_util_pct,36.634382566585955
peak_gpu_util_pct,80.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,35.27320419693301
avg_ram_used_mb,5546.476997578692
peak_ram_used_mb,5625.0
ram_total_mb,7620.0
max_temp_c,55.843
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r1/logs/tegrastats_completion_full_tf32_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r1/logs/virso_inference_completion_full_tf32_r1.log
Tegrastats_time_stamps_count,826
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
elapsed_s,169.55800008773804
embed,1
inference_elapsed_wall_s,169.6296272277832
inference_end_wall_s,1781160307.8347657
inference_start_wall_s,1781160138.2051384
k_neighbors,30
max_mode,64
mean_dt_s,0.20552484859119763
model_checkpoint_name,sp2gno_final.pth
num_layers,10
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
precision_mode,tf32
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r1/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r1
run_ts,completion_full_tf32_r1
spatial,1
spectral,1
spectral_skip,1
tf32_cudnn_allowed,1
tf32_matmul_allowed,1
width,48
