field,value
run_ts,completion_full_tf32_r3
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r3
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r3/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_checkpoint_name,sp2gno_final.pth
model_params,1661828
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.620630979537964
single_sample_latency_ms,790.3006076812744
avg_latency_ms,562.8213205645161
p50_latency_ms,573.3256340026855
p95_latency_ms,580.6590437889099
total_inference_time_s,174.94353795051575
inference_start_wall_s,1781160555.5951939
inference_end_wall_s,1781160730.5387318
inference_elapsed_wall_s,174.94353795051575
latency_s_per_iteration,0.5643339933887604
avg_total_loss,0.04369558315393665
avg_pressure_loss,0.004811926255182874
avg_vx_loss,0.00935520506013305
avg_vy_loss,0.009145217082433162
avg_vz_loss,0.0077580542859411045
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r3/logs/tegrastats_completion_full_tf32_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_full_tf32_r3/logs/virso_inference_completion_full_tf32_r3.log
precision_mode,tf32
tf32_matmul_allowed,1
tf32_cudnn_allowed,1
amp_mode,off
amp_resolved_dtype,None
