field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_params,1584782
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.020607948303223
single_sample_latency_ms,232.87534713745117
avg_latency_ms,46.77359058010963
p50_latency_ms,46.1273193359375
p95_latency_ms,47.45950698852539
total_inference_time_s,14.792316436767578
latency_s_per_iteration,0.04771714979602445
throughput_samples_per_s,20.956825884921464
throughput_from_latency_samples_per_s,21.37958595005208
avg_total_loss,0.18378491036954425
avg_pressure_loss,0.012091763684105488
avg_vx_loss,0.051442063539739576
avg_vy_loss,0.04918138853484585
avg_vz_loss,0.03959069890120337
avg_power_w,8.108402777777778
median_power_w,8.135
peak_power_w,8.217
energy_j_total,118.28844366097438
energy_j_per_sample_est,0.37925911178640137
energy_j_per_sample_from_total,0.3815756247128206
edp_j_s,0.017739310418473167
avg_gpu_util_pct,42.25
peak_gpu_util_pct,54.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,34.270833333333336
avg_ram_used_mb,5049.111111111111
peak_ram_used_mb,5090.0
ram_total_mb,7620.0
max_temp_c,54.593
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_bf16_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_bf16_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_bf16_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_bf16_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_bf16_r3/logs/tegrastats_completion_spectral_bf16_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_bf16_r3/logs/virso_inference_completion_spectral_bf16_r3.log
Tegrastats_time_stamps_count,72
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
collab_skip,1
elapsed_s,14.591000080108643
embed,1
inference_elapsed_wall_s,14.792316436767578
inference_end_wall_s,1781162649.1461065
inference_start_wall_s,1781162634.35379
k_neighbors,30
max_mode,64
mean_dt_s,0.20550704338181186
model_checkpoint_name,best_model_spectral.pth
num_layers,10
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_bf16_r3/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/completion_spectral_bf16_r3
run_ts,completion_spectral_bf16_r3
spatial,0
spectral,1
spectral_skip,1
width,48
