field,value
Tegrastats_time_stamps_count,610
elapsed_s,127.79900002479553
mean_dt_s,0.20985057475335883
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
avg_power_w,10.219144262295082
median_power_w,10.148
peak_power_w,12.083
energy_j_total,1305.8066872327315
avg_gpu_util_pct,17.595081967213115
peak_gpu_util_pct,37.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,20.41912568306011
avg_ram_used_mb,5764.25737704918
peak_ram_used_mb,5833.0
ram_total_mb,7620.0
max_temp_c,58.031
