field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,2035699672.0
analytic_flops_per_sample,8964817920.0
macs_per_sample,1017849836.0
flops_per_s,4948078402.032918
gflops_per_s,4.948078402032918
gflops_per_w,0.4841969420364799
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.076971769332886
single_sample_latency_ms,281.63599967956543
avg_latency_ms,411.4121698564099
p50_latency_ms,424.08621311187744
p95_latency_ms,432.07387924194336
total_inference_time_s,128.05950903892517
latency_s_per_iteration,0.4130951904481457
throughput_samples_per_s,2.4207495587521883
throughput_from_latency_samples_per_s,2.4306524533511435
avg_total_loss,0.042059236909112625
avg_pressure_loss,0.0047508789586924735
avg_vx_loss,0.00889648083116739
avg_vy_loss,0.0087105258518169
avg_vz_loss,0.0072347612060125795
avg_power_w,10.219144262295082
median_power_w,10.148
peak_power_w,12.083
energy_j_total,1305.8066872327315
energy_j_per_sample_est,4.204280315026501
energy_j_per_sample_from_total,4.2122796362346175
edp_j_s,1.729692087089643
avg_gpu_util_pct,17.595081967213115
peak_gpu_util_pct,37.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,20.41912568306011
avg_ram_used_mb,5764.25737704918
peak_ram_used_mb,5833.0
ram_total_mb,7620.0
max_temp_c,58.031
peak_gpu_mem_mb,0.0
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260330_082358/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260330_082358/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260330_082358/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260330_082358/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260330_082358/logs/tegrastats_20260330_082358.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260330_082358/logs/virso_inference_20260330_082358.log
Tegrastats_time_stamps_count,610
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
elapsed_s,127.79900002479553
embed,1
inference_elapsed_wall_s,128.05950903892517
inference_end_wall_s,1774830380.1676276
inference_start_wall_s,1774830252.1081185
k_neighbors,30
max_mode,64
mean_dt_s,0.20985057475335883
model_checkpoint_name,sp2gno_final.pth
num_layers,10
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260330_082358/reports
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260330_082358
run_ts,20260330_082358
spatial,1
spectral,1
spectral_skip,1
width,48
