device,gpu_name,torch_version,cuda_version,run_status,model_checkpoint,model_params,graph_type,k,r,k_lower,start_radius,factor_of_lower,dataset_largest_mode,model_max_mode,num_nodes,num_samples,input_dim,output_dim,dataset_build_time_s,single_sample_latency_ms,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_inference_time_s,latency_s_per_iteration,throughput_samples_per_s,avg_total_loss,avg_pressure_loss,avg_vx_loss,avg_vy_loss,avg_vz_loss,avg_power_w,median_power_w,peak_power_w,energy_j_total,energy_j_per_sample_est,energy_j_per_sample_from_total,avg_gpu_util_pct,peak_gpu_util_pct,avg_gpu_freq_mhz,avg_cpu_util_pct,avg_ram_used_mb,peak_ram_used_mb,ram_total_mb,max_temp_c,peak_gpu_mem_mb,predictions_path,targets_path,predictions_shape,targets_shape,dry_prediction_path,dry_target_path,monitor_cmd,monitor_log,log_file,collab_skip,elapsed_s,embed,k_neighbors,max_mode,mean_dt_s,num_layers,power_source,report_dir,run_dir,run_ts,sample_count,spatial,spectral,spectral_skip,width,model_checkpoint_name,amp_mode,amp_resolved_dtype,profiled_flops_per_sample,analytic_flops_per_sample,macs_per_sample,flops_per_s,gflops_per_s,gflops_per_w,num_edges,throughput_from_latency_samples_per_s,edp_j_s,Tegrastats_time_stamps_count,inference_elapsed_wall_s,inference_end_wall_s,inference_start_wall_s
cuda,Orin,2.5.0a0+872d972e41.nv24.08,12.6,0,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth,1661828,knn,30,0.001,45,0.0005,1,150,64,3977,310,102,4,5.310643434524536,646.0731029510498,515.6249600072061,561.149001121521,574.7648000717163,162.75995802879333,0.5250321226735268,1.9046453670451235,0.04205924230177076,0.00475087872586183,0.008896481416999332,0.008710527399014081,0.007234763358569434,7.7053191990577155,7.666,9.547,1393.5510036275402,3.9730549038568923,4.495325818153356,34.686690223792695,79.0,,21.954259913623872,4859.571260306243,5150.0,7620.0,47.562,0.0,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_042521/outputs/virso_predictions.npy,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_042521/outputs/virso_targets.npy,"(310, 3977, 4)","(310, 3977, 4)",/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_042521/outputs/virso_single_pred.npy,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_042521/outputs/virso_single_gold.npy,none,,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_042521/logs/virso_inference_20260322_042521.log,1,180.77900004386902,1,30,64,0.21318278307060026,10,VDD_IN/POM_5V_IN preferred; fallback sum/common rails,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_042521/reports,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_042521,20260322_042521,849,1,1,1,48,,,,,,,,,,,,,,,,
cuda,Orin,2.5.0a0+872d972e41.nv24.08,12.6,0,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth,1661828,knn,30,0.001,45,0.0005,1,150,64,3977,310,102,4,5.342406511306763,752.739667892456,557.5683878314111,565.4550790786743,575.5873203277588,175.5663821697235,0.5663431682894307,1.765713892197863,0.04205924040758081,0.004750879143454855,0.008896480900265517,0.008710527525193268,0.007234762849346284,7.598578073089701,7.666,9.588,1456.7290779748048,4.236726926023735,4.699126057983241,33.10520487264673,78.0,,19.33204134366925,4990.84496124031,5155.0,7620.0,48.906,0.0,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050554/outputs/virso_predictions.npy,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050554/outputs/virso_targets.npy,"(310, 3977, 4)","(310, 3977, 4)",/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050554/outputs/virso_single_pred.npy,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050554/outputs/virso_single_gold.npy,none,,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050554/logs/virso_inference_20260322_050554.log,1,191.6639997959137,1,30,64,0.21248780465178901,10,VDD_IN/POM_5V_IN preferred; fallback sum/common rails,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050554/reports,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050554,20260322_050554,903,1,1,1,48,sp2gno_final.pth,,,,,,,,,,,,,,,
cuda,Orin,2.5.0a0+872d972e41.nv24.08,12.6,0,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth,1661828,knn,30,0.001,45,0.0005,1,150,64,3977,310,102,4,5.338569641113281,863.9311790466309,562.9177570343018,567.6980018615723,577.8432488441467,177.16280460357666,0.5714929180760537,1.7498029605800312,0.0420592412307498,0.0047508789586924735,0.008896480275378113,0.008710528126046542,0.007234762274029274,7.579932967032967,7.624,9.588,1463.569277897123,4.266878864272558,4.721191219022977,32.95054945054945,79.0,,19.21868131868132,4997.045054945055,5158.0,7620.0,47.937,0.0,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934/outputs/virso_predictions.npy,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934/outputs/virso_targets.npy,"(310, 3977, 4)","(310, 3977, 4)",/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934/outputs/virso_single_pred.npy,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934/outputs/virso_single_gold.npy,none,,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934/logs/virso_inference_20260322_050934.log,1,193.05499982833862,1,30,64,0.21238173798497098,10,VDD_IN/POM_5V_IN preferred; fallback sum/common rails,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934/reports,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260322_050934,20260322_050934,910,1,1,1,48,sp2gno_final.pth,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.632467532467532,6.439,9.573,106.92830304646486,,,0.0,0.0,,24.818181818181817,3764.12987012987,4102.0,7620.0,46.406,,,,,,,,,,,,16.111999988555908,,,,0.21199999984941983,,VDD_IN/POM_5V_IN preferred; fallback sum/common rails,,,,77,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.631539473684211,6.449,9.547,105.09975930356981,,,0.0,0.0,,25.164473684210527,3361.407894736842,3943.0,7620.0,44.468,,,,,,,,,,,,15.848000049591064,,,,0.21130666732788086,,VDD_IN/POM_5V_IN preferred; fallback sum/common rails,,,,76,,,,,,,,,,,,,,,,,,,,
cuda,Orin,2.5.0a0+872d972e41.nv24.08,12.6,0,/home/jetson/VirSO/best_model_2_layer.pth,256460,knn,30,0.001,45,0.0005,1,150,40,3977,310,102,4,5.413994312286377,428.0722141265869,104.03252340132191,100.85976123809814,124.1782546043396,35.28912115097046,0.11383587468054987,8.784576942956113,0.09776356365651853,0.013654747238803295,0.02009035238936063,0.021417005420211823,0.017334999636776986,7.50766255144033,7.666,9.547,385.88423645663266,0.7810410800719443,1.2447878595375248,26.65843621399177,79.0,,25.4039780521262,4581.378600823045,5318.0,7620.0,44.937,0.0,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253/outputs/virso_predictions.npy,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253/outputs/virso_targets.npy,"(310, 3977, 4)","(310, 3977, 4)",/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253/outputs/virso_single_pred.npy,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253/outputs/virso_single_gold.npy,none,,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253/logs/virso_inference_20260324_001253.log,1,51.354000091552734,1,30,40,0.21220661194856502,2,VDD_IN/POM_5V_IN preferred; fallback sum/common rails,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253/reports,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001253,20260324_001253,243,1,1,1,48,best_model_2_layer.pth,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.632168831168832,6.449,9.547,106.5126499245167,,,0.05194805194805195,4.0,,24.727272727272727,4099.766233766234,4851.0,7620.0,45.75,,,,,,,,,,,,16.057000160217285,,,,0.21127631789759585,,VDD_IN/POM_5V_IN preferred; fallback sum/common rails,,,,77,,,,,,,,,,,,,,,,,,,,
cuda,Orin,2.5.0a0+872d972e41.nv24.08,12.6,0,/home/jetson/VirSO/best_model_spectral.pth,1584782,knn,30,0.001,45,0.0005,1,150,64,3977,310,102,4,5.47615122795105,248.80194664001465,58.52076084383072,57.09683895111084,58.76574516296387,20.681902408599854,0.06671581422128985,14.988949946456435,0.04538138984822698,0.005531021428384608,0.010204133760905074,0.009447210438309176,0.00727166244459729,7.062798850574713,7.43,9.547,259.7649397509098,0.41332036242256526,0.8379514185513218,17.649425287356323,67.0,,24.788314176245212,4663.482758620689,5137.0,7620.0,44.562,0.0,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001945/outputs/virso_predictions.npy,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001945/outputs/virso_targets.npy,"(310, 3977, 4)","(310, 3977, 4)",/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001945/outputs/virso_single_pred.npy,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001945/outputs/virso_single_gold.npy,none,,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001945/logs/virso_inference_20260324_001945.log,0,36.75699996948242,1,30,64,0.21246820791608337,10,VDD_IN/POM_5V_IN preferred; fallback sum/common rails,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001945/reports,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/20260324_001945,20260324_001945,174,0,1,1,48,best_model_spectral.pth,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.616876712328768,8.353,11.427,130.1805501129627,,,0.6438356164383562,41.0,,26.819634703196346,3726.2876712328766,4397.0,7620.0,51.812,,,,,,,,,,,,15.105000019073486,,,,0.2097916669315762,,VDD_IN/POM_5V_IN preferred; fallback sum/common rails,,,,73,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.522626666666667,8.271,11.345,132.40862829732896,,,0.2,12.0,,25.053333333333335,3745.4133333333334,4679.0,7620.0,51.406,,,,,,,,,,,,15.532000064849854,,,,0.20989189276824127,,VDD_IN/POM_5V_IN preferred; fallback sum/common rails,,,,75,,,,,,,,,,,,,,,,,,,,
