field,value
run_ts,memaudit_full_ampfp16_one
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_ampfp16_one
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_ampfp16_one/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_checkpoint_name,sp2gno_final.pth
model_params,1661828
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,1
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.938175916671753
single_sample_latency_ms,891.6037082672119
avg_latency_ms,891.6037082672119
p50_latency_ms,891.6037082672119
p95_latency_ms,891.6037082672119
total_inference_time_s,0.89678955078125
inference_start_wall_s,1781292572.5120008
inference_end_wall_s,1781292573.4087903
inference_elapsed_wall_s,0.89678955078125
latency_s_per_iteration,0.89678955078125
avg_total_loss,0.04870159225538373
avg_pressure_loss,0.004930694121867418
avg_vx_loss,0.010948728770017624
avg_vy_loss,0.010425624437630177
avg_vz_loss,0.009208986535668373
peak_gpu_mem_mb,0.0
cuda_peak_alloc_mb,0.0
cuda_peak_reserved_mb,0.0
cuda_mem_get_info_peak_used_mb,4959.19140625
cuda_mem_get_info_delta_from_program_start_mb,1156.18359375
cuda_mem_get_info_delta_from_after_model_load_mb,392.39453125
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3816.875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3803.0078125}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3572.59765625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4047.28515625}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3053.0859375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4566.796875}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3053.0859375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4566.796875}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3053.0859375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4566.796875}, {""tag"": ""after_first_sample_tensors_to_device_before_forward"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3053.0859375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4566.796875}, {""tag"": ""after_first_sample_forward_decode_before_loss"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2725.5, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4894.3828125}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2660.69140625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4959.19140625}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2660.69140625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4959.19140625}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_ampfp16_one/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_ampfp16_one/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_ampfp16_one/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_ampfp16_one/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_ampfp16_one/logs/virso_inference_memaudit_full_ampfp16_one.log
amp_mode,fp16
amp_resolved_dtype,torch.float16
