field,value
run_ts,memaudit_full_fp32_one
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_fp32_one
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_fp32_one/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_checkpoint_name,sp2gno_final.pth
model_params,1661828
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,1
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.1989452838897705
single_sample_latency_ms,982.5456142425537
avg_latency_ms,982.5456142425537
p50_latency_ms,982.5456142425537
p95_latency_ms,982.5456142425537
total_inference_time_s,0.988781213760376
inference_start_wall_s,1781292483.352162
inference_end_wall_s,1781292484.340943
inference_elapsed_wall_s,0.988781213760376
latency_s_per_iteration,0.988781213760376
avg_total_loss,0.041372958570718765
avg_pressure_loss,0.00469909468665719
avg_vx_loss,0.008782128803431988
avg_vy_loss,0.008531400933861732
avg_vz_loss,0.007072000298649073
peak_gpu_mem_mb,0.0
cuda_peak_alloc_mb,0.0
cuda_peak_reserved_mb,0.0
cuda_mem_get_info_peak_used_mb,4884.89453125
cuda_mem_get_info_delta_from_program_start_mb,1303.06640625
cuda_mem_get_info_delta_from_after_model_load_mb,523.2421875
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4038.0546875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3581.828125}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3811.8828125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3808.0}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3258.23046875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4361.65234375}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3258.23046875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4361.65234375}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3258.23046875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4361.65234375}, {""tag"": ""after_first_sample_tensors_to_device_before_forward"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 3258.23046875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4361.65234375}, {""tag"": ""after_first_sample_forward_decode_before_loss"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2771.8671875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4848.015625}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2734.98828125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4884.89453125}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 2734.98828125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4884.89453125}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_fp32_one/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_fp32_one/outputs/virso_targets.npy
predictions_shape,
targets_shape,
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_fp32_one/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_fp32_one/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/memaudit_full_fp32_one/logs/virso_inference_memaudit_full_fp32_one.log
amp_mode,off
amp_resolved_dtype,None
