field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.2835493087768555
single_sample_latency_ms,374.61137771606445
avg_latency_ms,103.75016427809193
p50_latency_ms,100.60060024261475
p95_latency_ms,116.05443954467773
total_inference_time_s,32.38220548629761
latency_s_per_iteration,0.10445872737515358
throughput_samples_per_s,9.57315894160375
throughput_from_latency_samples_per_s,9.638538955173123
avg_total_loss,0.19461489507267551
avg_pressure_loss,0.011076539814952881
avg_vx_loss,0.054967636446799
avg_vy_loss,0.051840510928342416
avg_vz_loss,0.042679390467463
avg_power_w,15.662867088607594
median_power_w,15.93
peak_power_w,16.149
energy_j_total,505.9479700293542
energy_j_per_sample_est,1.6250250335089573
energy_j_per_sample_from_total,1.6320902259011427
edp_j_s,0.16859661418256616
avg_gpu_util_pct,94.26582278481013
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,31.90084388185654
avg_ram_used_mb,4724.46835443038
peak_ram_used_mb,4746.0
ram_total_mb,7620.0
max_temp_c,66.406
peak_gpu_mem_mb,85.84228515625
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r2/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r2/logs/tegrastats_official_full_bf16_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r2/logs/virso_inference_official_full_bf16_r2.log
Tegrastats_time_stamps_count,158
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,462.80859375
cuda_mem_get_info_delta_from_program_start_mb,1247.015625
cuda_mem_get_info_peak_used_mb,4794.9765625
