field,value
run_ts,official_full_bf16_r3
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r3
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r3/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_checkpoint_name,sp2gno_final.pth
model_params,1661828
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.401835203170776
single_sample_latency_ms,422.9292869567871
avg_latency_ms,104.60884878712315
p50_latency_ms,101.85205936431885
p95_latency_ms,116.71249866485596
total_inference_time_s,32.66062641143799
inference_start_wall_s,1781333343.0108244
inference_end_wall_s,1781333375.6714509
inference_elapsed_wall_s,32.66062641143799
latency_s_per_iteration,0.10535685939173545
avg_total_loss,0.1947457499411558
avg_pressure_loss,0.011075816889323534
avg_vx_loss,0.054969130516532926
avg_vy_loss,0.051903621828363784
avg_vz_loss,0.04271882301376712
peak_gpu_mem_mb,85.84228515625
cuda_peak_alloc_mb,85.84228515625
cuda_peak_reserved_mb,124.0
cuda_mem_get_info_peak_used_mb,4789.765625
cuda_mem_get_info_delta_from_program_start_mb,1261.5859375
cuda_mem_get_info_delta_from_after_model_load_mb,467.58984375
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4091.703125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3528.1796875}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3843.015625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3776.8671875}, {""tag"": ""after_model_load"", ""alloc_mb"": 6.39404296875, ""reserved_mb"": 8.0, ""max_alloc_mb"": 6.39404296875, ""max_reserved_mb"": 8.0, ""mem_get_info_free_mb"": 3297.70703125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4322.17578125}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 14.51904296875, ""reserved_mb"": 28.0, ""max_alloc_mb"": 14.57373046875, ""max_reserved_mb"": 28.0, ""mem_get_info_free_mb"": 3138.27734375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4481.60546875}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 14.51904296875, ""reserved_mb"": 28.0, ""max_alloc_mb"": 14.51904296875, ""max_reserved_mb"": 28.0, ""mem_get_info_free_mb"": 3138.27734375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4481.60546875}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 21.47509765625, ""reserved_mb"": 124.0, ""max_alloc_mb"": 85.84130859375, ""max_reserved_mb"": 124.0, ""mem_get_info_free_mb"": 2865.65625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4754.2265625}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 14.52001953125, ""reserved_mb"": 124.0, ""max_alloc_mb"": 85.84228515625, ""max_reserved_mb"": 124.0, ""mem_get_info_free_mb"": 2830.1171875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4789.765625}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r3/logs/tegrastats_official_full_bf16_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_bf16_r3/logs/virso_inference_official_full_bf16_r3.log
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
