field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.289506673812866
single_sample_latency_ms,556.0424327850342
avg_latency_ms,84.61288482912126
p50_latency_ms,81.29346370697021
p95_latency_ms,95.87149620056152
total_inference_time_s,26.385797262191772
latency_s_per_iteration,0.0851154750393283
throughput_samples_per_s,11.748744861471335
throughput_from_latency_samples_per_s,11.818530972198097
avg_total_loss,0.04851294229738414
avg_pressure_loss,0.0049506521828833125
avg_vx_loss,0.010772277988613613
avg_vy_loss,0.010478463192139902
avg_vz_loss,0.009125067305661016
avg_power_w,15.79546511627907
median_power_w,16.149
peak_power_w,16.433
energy_j_total,416.05516439366346
energy_j_per_sample_est,1.3364998707061233
energy_j_per_sample_from_total,1.3421134335279465
edp_j_s,0.11308510963419266
avg_gpu_util_pct,90.86821705426357
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,34.56976744186046
avg_ram_used_mb,4690.077519379845
peak_ram_used_mb,4714.0
ram_total_mb,7620.0
max_temp_c,66.156
peak_gpu_mem_mb,85.892578125
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_fp16_autocast_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_fp16_autocast_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_fp16_autocast_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_fp16_autocast_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_fp16_autocast_r1/logs/tegrastats_official_full_fp16_autocast_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_fp16_autocast_r1/logs/virso_inference_official_full_fp16_autocast_r1.log
Tegrastats_time_stamps_count,129
amp_mode,fp16
amp_resolved_dtype,torch.float16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,470.984375
cuda_mem_get_info_delta_from_program_start_mb,1255.40625
cuda_mem_get_info_peak_used_mb,4763.125
