field,value
Tegrastats_time_stamps_count,130
elapsed_s,26.527000188827515
mean_dt_s,0.20563566037850786
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
avg_power_w,16.287653846153844
median_power_w,16.636
peak_power_w,17.082
energy_j_total,431.98405247163765
avg_gpu_util_pct,89.08461538461539
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,32.56794871794872
avg_ram_used_mb,5235.723076923077
peak_ram_used_mb,5257.0
ram_total_mb,7620.0
max_temp_c,62.437
