field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.4927568435668945
single_sample_latency_ms,416.36157035827637
avg_latency_ms,85.04426017884285
p50_latency_ms,82.62193202972412
p95_latency_ms,96.97291851043701
total_inference_time_s,26.525832176208496
latency_s_per_iteration,0.0855672005684145
throughput_samples_per_s,11.686721002406276
throughput_from_latency_samples_per_s,11.758583094227188
avg_total_loss,0.04205924162130442
avg_pressure_loss,0.004750879211050849
avg_vx_loss,0.008896480915286848
avg_vy_loss,0.008710527666393788
avg_vz_loss,0.007234762971019072
avg_power_w,16.440992248062017
median_power_w,16.757
peak_power_w,17.041
energy_j_total,432.92644139289865
energy_j_per_sample_est,1.3982120223425247
energy_j_per_sample_from_total,1.396536907719028
edp_j_s,0.11890990701328372
avg_gpu_util_pct,90.55813953488372
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,32.701550387596896
avg_ram_used_mb,5052.875968992248
peak_ram_used_mb,5074.0
ram_total_mb,7620.0
max_temp_c,64.031
peak_gpu_mem_mb,108.9375
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_fp32_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_fp32_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_fp32_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_fp32_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_fp32_r3/logs/tegrastats_official_full_fp32_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_fp32_r3/logs/virso_inference_official_full_fp32_r3.log
Tegrastats_time_stamps_count,129
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,336.62890625
cuda_mem_get_info_delta_from_program_start_mb,1133.62109375
cuda_mem_get_info_peak_used_mb,5124.640625
