field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.463200807571411
single_sample_latency_ms,508.1329345703125
avg_latency_ms,83.62949279046828
p50_latency_ms,80.2922248840332
p95_latency_ms,95.02091407775879
total_inference_time_s,26.08132791519165
latency_s_per_iteration,0.08413331585545694
throughput_samples_per_s,11.885897873299372
throughput_from_latency_samples_per_s,11.957504065048875
avg_total_loss,0.04369574314914644
avg_pressure_loss,0.0048121778955382685
avg_vx_loss,0.009355331909271979
avg_vy_loss,0.00914544792425248
avg_vz_loss,0.007757854324975802
avg_power_w,16.41540157480315
median_power_w,16.839
peak_power_w,17.136
energy_j_total,425.40292280077966
energy_j_per_sample_est,1.3728117076526414
energy_j_per_sample_from_total,1.3722674929057408
edp_j_s,0.11480754680780701
avg_gpu_util_pct,89.92125984251969
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,31.681102362204726
avg_ram_used_mb,4794.188976377953
peak_ram_used_mb,4819.0
ram_total_mb,7620.0
max_temp_c,65.437
peak_gpu_mem_mb,108.9375
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_tf32_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_tf32_r2/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_tf32_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_tf32_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_tf32_r2/logs/tegrastats_official_full_tf32_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_full_tf32_r2/logs/virso_inference_official_full_tf32_r2.log
Tegrastats_time_stamps_count,127
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
cuda_matmul_allow_tf32,True
cuda_mem_get_info_delta_from_after_model_load_mb,349.10546875
cuda_mem_get_info_delta_from_program_start_mb,1153.359375
cuda_mem_get_info_peak_used_mb,4897.2890625
