field,value
Tegrastats_time_stamps_count,129
elapsed_s,26.344000101089478
mean_dt_s,0.20581250078976154
power_source,VDD_IN/POM_5V_IN preferred; fallback sum/common rails
avg_power_w,16.384596899224807
median_power_w,16.717
peak_power_w,17.096
energy_j_total,431.575249157667
avg_gpu_util_pct,89.6046511627907
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,32.974160206718345
avg_ram_used_mb,4735.054263565891
peak_ram_used_mb,4758.0
ram_total_mb,7620.0
max_temp_c,65.656
