field,value
run_ts,official_layer2_bf16_r1
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r1
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r1/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.693505525588989
single_sample_latency_ms,302.45280265808105
avg_latency_ms,32.4450300585839
p50_latency_ms,30.379772186279297
p95_latency_ms,40.26845693588257
total_inference_time_s,10.215793371200562
inference_start_wall_s,1781334391.4758995
inference_end_wall_s,1781334401.6916928
inference_elapsed_wall_s,10.215793371200562
latency_s_per_iteration,0.0329541721651631
avg_total_loss,0.2065457775527912
avg_pressure_loss,0.018449931249262825
avg_vx_loss,0.05517462928208613
avg_vy_loss,0.05577720567103355
avg_vz_loss,0.040467184902198854
peak_gpu_mem_mb,77.87744140625
cuda_peak_alloc_mb,77.87744140625
cuda_peak_reserved_mb,88.0
cuda_mem_get_info_peak_used_mb,4684.7890625
cuda_mem_get_info_delta_from_program_start_mb,1234.34765625
cuda_mem_get_info_delta_from_after_model_load_mb,472.50390625
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4169.44140625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3450.44140625}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3920.83203125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3699.05078125}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3407.59765625, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4212.28515625}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 9.11669921875, ""reserved_mb"": 22.0, ""max_alloc_mb"": 9.17138671875, ""max_reserved_mb"": 22.0, ""mem_get_info_free_mb"": 3222.8203125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4397.0625}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 9.11669921875, ""reserved_mb"": 22.0, ""max_alloc_mb"": 9.11669921875, ""max_reserved_mb"": 22.0, ""mem_get_info_free_mb"": 3222.8203125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4397.0625}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 16.07275390625, ""reserved_mb"": 88.0, ""max_alloc_mb"": 77.87646484375, ""max_reserved_mb"": 88.0, ""mem_get_info_free_mb"": 2971.29296875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4648.58984375}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 9.11767578125, ""reserved_mb"": 88.0, ""max_alloc_mb"": 77.87744140625, ""max_reserved_mb"": 88.0, ""mem_get_info_free_mb"": 2935.09375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4684.7890625}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r1/logs/tegrastats_official_layer2_bf16_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r1/logs/virso_inference_official_layer2_bf16_r1.log
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
