field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.4394025802612305
single_sample_latency_ms,279.1261672973633
avg_latency_ms,30.8746091781124
p50_latency_ms,28.88500690460205
p95_latency_ms,38.32876682281495
total_inference_time_s,9.707810878753662
latency_s_per_iteration,0.03131551896372149
throughput_samples_per_s,31.93304895117604
throughput_from_latency_samples_per_s,32.38907395494804
avg_total_loss,0.2065944644952974
avg_pressure_loss,0.018450640382305268
avg_vx_loss,0.05518463142216205
avg_vy_loss,0.05578714889143744
avg_vz_loss,0.04048231951892376
avg_power_w,12.212872340425532
median_power_w,12.617
peak_power_w,13.311
energy_j_total,115.52084475541112
energy_j_per_sample_est,0.3770676604528172
energy_j_per_sample_from_total,0.3726478863077778
edp_j_s,0.01164181665018592
avg_gpu_util_pct,76.76595744680851
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,39.319148936170215
avg_ram_used_mb,4647.95744680851
peak_ram_used_mb,4671.0
ram_total_mb,7620.0
max_temp_c,58.5
peak_gpu_mem_mb,77.87744140625
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r2/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r2/logs/tegrastats_official_layer2_bf16_r2.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_bf16_r2/logs/virso_inference_official_layer2_bf16_r2.log
Tegrastats_time_stamps_count,47
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,475.328125
cuda_mem_get_info_delta_from_program_start_mb,1249.53125
cuda_mem_get_info_peak_used_mb,4712.875
