field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.187487602233887
single_sample_latency_ms,463.0780220031738
avg_latency_ms,27.155914614277503
p50_latency_ms,25.182485580444336
p95_latency_ms,38.55123519897461
total_inference_time_s,8.552916288375854
latency_s_per_iteration,0.02759005254314792
throughput_samples_per_s,36.24494728439194
throughput_from_latency_samples_per_s,36.82439034751714
avg_total_loss,0.100758687436821
avg_pressure_loss,0.013766707798406
avg_vx_loss,0.021080638516333794
avg_vy_loss,0.022289929599050552
avg_vz_loss,0.018061762074789694
avg_power_w,11.989738095238096
median_power_w,12.105
peak_power_w,14.694
energy_j_total,100.48865440177919
energy_j_per_sample_est,0.3255923039618359
energy_j_per_sample_from_total,0.32415694968315867
edp_j_s,0.008841756805453503
avg_gpu_util_pct,71.85714285714286
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,35.05555555555556
avg_ram_used_mb,4638.166666666667
peak_ram_used_mb,4675.0
ram_total_mb,7620.0
max_temp_c,58.281
peak_gpu_mem_mb,77.927734375
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r1/logs/tegrastats_official_layer2_fp16_autocast_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_fp16_autocast_r1/logs/virso_inference_official_layer2_fp16_autocast_r1.log
Tegrastats_time_stamps_count,42
amp_mode,fp16
amp_resolved_dtype,torch.float16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,493.76953125
cuda_mem_get_info_delta_from_program_start_mb,1264.1953125
cuda_mem_get_info_peak_used_mb,4714.7890625
