field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.196145296096802
single_sample_latency_ms,361.0565662384033
avg_latency_ms,24.27666264195596
p50_latency_ms,20.567893981933594
p95_latency_ms,35.04384756088257
total_inference_time_s,7.64076828956604
latency_s_per_iteration,0.024647639643761418
throughput_samples_per_s,40.57183626721476
throughput_from_latency_samples_per_s,41.19182338810268
avg_total_loss,0.09848634314332758
avg_pressure_loss,0.01368239631035155
avg_vx_loss,0.020309860559721147
avg_vy_loss,0.021616020119718967
avg_vz_loss,0.017456138830992483
avg_power_w,13.489027027027026
median_power_w,15.019
peak_power_w,15.426
energy_j_total,99.63031371045112
energy_j_per_sample_est,0.32746855850336126
energy_j_per_sample_from_total,0.3213881087433907
edp_j_s,0.00794984372063372
avg_gpu_util_pct,76.64864864864865
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,34.148648648648646
avg_ram_used_mb,4515.135135135135
peak_ram_used_mb,4547.0
ram_total_mb,7620.0
max_temp_c,58.468
peak_gpu_mem_mb,103.53515625
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r1/logs/tegrastats_official_layer2_tf32_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_layer2_tf32_r1/logs/virso_inference_official_layer2_tf32_r1.log
Tegrastats_time_stamps_count,37
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
cuda_matmul_allow_tf32,True
cuda_mem_get_info_delta_from_after_model_load_mb,378.31640625
cuda_mem_get_info_delta_from_program_start_mb,1136.91796875
cuda_mem_get_info_peak_used_mb,4585.734375
