field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_params,1584782
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.166974306106567
single_sample_latency_ms,156.27455711364746
avg_latency_ms,19.841663299068326
p50_latency_ms,18.16380023956299
p95_latency_ms,26.05905532836914
total_inference_time_s,6.25969386100769
latency_s_per_iteration,0.02019256084196029
throughput_samples_per_s,49.52318865480363
throughput_from_latency_samples_per_s,50.39900057405749
avg_total_loss,0.18378491036954425
avg_pressure_loss,0.012091763684105488
avg_vx_loss,0.051442063539739576
avg_vy_loss,0.04918138853484585
avg_vz_loss,0.03959069890120337
avg_power_w,9.839290322580645
median_power_w,10.05
peak_power_w,10.403
energy_j_total,60.60358992600441
energy_j_per_sample_est,0.19522788568242652
energy_j_per_sample_from_total,0.19549545137420776
edp_j_s,0.003873645974299709
avg_gpu_util_pct,66.35483870967742
peak_gpu_util_pct,86.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,46.0
avg_ram_used_mb,4523.8387096774195
peak_ram_used_mb,4546.0
ram_total_mb,7620.0
max_temp_c,57.093
peak_gpu_mem_mb,26.9306640625
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r1/logs/tegrastats_official_spectral_bf16_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_bf16_r1/logs/virso_inference_official_spectral_bf16_r1.log
Tegrastats_time_stamps_count,31
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,328.90234375
cuda_mem_get_info_delta_from_program_start_mb,1119.6796875
cuda_mem_get_info_peak_used_mb,4587.5078125
