field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_params,1584782
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.274814605712891
single_sample_latency_ms,272.21083641052246
avg_latency_ms,18.245084055008427
p50_latency_ms,16.23523235321045
p95_latency_ms,26.357877254486084
total_inference_time_s,5.763453960418701
latency_s_per_iteration,0.018591786969092583
throughput_samples_per_s,53.787191175459526
throughput_from_latency_samples_per_s,54.809284352159054
avg_total_loss,0.04538138984822698
avg_pressure_loss,0.005531021428384608
avg_vx_loss,0.010204133760905074
avg_vy_loss,0.009447210438309176
avg_vz_loss,0.00727166244459729
avg_power_w,10.349607142857144
median_power_w,10.813
peak_power_w,11.018
energy_j_total,57.3150889904499
energy_j_per_sample_est,0.1888294522577442
energy_j_per_sample_from_total,0.18488738384016098
edp_j_s,0.0034452092285037436
avg_gpu_util_pct,64.96428571428571
peak_gpu_util_pct,90.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,41.76190476190476
avg_ram_used_mb,4427.392857142857
peak_ram_used_mb,4456.0
ram_total_mb,7620.0
max_temp_c,62.218
peak_gpu_mem_mb,29.26416015625
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_fp32_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_fp32_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_fp32_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_fp32_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_fp32_r1/logs/tegrastats_official_spectral_fp32_r1.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_fp32_r1/logs/virso_inference_official_spectral_fp32_r1.log
Tegrastats_time_stamps_count,28
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,241.09375
cuda_mem_get_info_delta_from_program_start_mb,1035.12109375
cuda_mem_get_info_peak_used_mb,4504.09765625
