field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/VirSO/best_model_spectral.pth
model_params,1584782
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,6.246161699295044
single_sample_latency_ms,241.96147918701172
avg_latency_ms,18.086983311560846
p50_latency_ms,16.2353515625
p95_latency_ms,24.935626983642578
total_inference_time_s,5.713935136795044
latency_s_per_iteration,0.01843204882837111
throughput_samples_per_s,54.25332849925901
throughput_from_latency_samples_per_s,55.28837964708131
avg_total_loss,0.046457015015485305
avg_pressure_loss,0.005587052764190781
avg_vx_loss,0.010500800510447833
avg_vy_loss,0.009728348432409186
avg_vz_loss,0.007623707859085933
avg_power_w,9.900321428571429
median_power_w,10.3005
peak_power_w,10.526
energy_j_total,54.87567701792717
energy_j_per_sample_est,0.1790669484576597
energy_j_per_sample_from_total,0.17701831296105539
edp_j_s,0.0032387809084058173
avg_gpu_util_pct,65.28571428571429
peak_gpu_util_pct,96.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,42.791666666666664
avg_ram_used_mb,4435.857142857143
peak_ram_used_mb,4459.0
ram_total_mb,7620.0
max_temp_c,57.468
peak_gpu_mem_mb,29.26416015625
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_tf32_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_tf32_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_tf32_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_tf32_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_tf32_r3/logs/tegrastats_official_spectral_tf32_r3.log
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/official_virso_cache_enabled_20260613_144007/official_spectral_tf32_r3/logs/virso_inference_official_spectral_tf32_r3.log
Tegrastats_time_stamps_count,28
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
cuda_matmul_allow_tf32,True
cuda_mem_get_info_delta_from_after_model_load_mb,245.5234375
cuda_mem_get_info_delta_from_program_start_mb,1029.05078125
cuda_mem_get_info_peak_used_mb,4502.3984375
