field,value
run_ts,perturb_full_fp16_autocast_r2
run_dir,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp16_autocast_r2
report_dir,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp16_autocast_r2/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_checkpoint_name,sp2gno_final.pth
model_params,1661828
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,10
width,48
max_mode,64
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,4.9720141887664795
single_sample_latency_ms,390.22374153137207
avg_latency_ms,71.49498308858564
p50_latency_ms,70.49930095672607
p95_latency_ms,70.93387842178345
total_inference_time_s,22.289849519729614
inference_start_wall_s,1788332681.9831414
inference_end_wall_s,1788332704.272991
inference_elapsed_wall_s,22.289849519729614
latency_s_per_iteration,0.07190274038622456
avg_total_loss,0.04850942508407658
avg_pressure_loss,0.004951252301614131
avg_vx_loss,0.010774030650575315
avg_vy_loss,0.010477472832726856
avg_vz_loss,0.00912076199968015
peak_gpu_mem_mb,85.892578125
cuda_peak_alloc_mb,85.892578125
cuda_peak_reserved_mb,118.0
cuda_mem_get_info_peak_used_mb,4150.72265625
cuda_mem_get_info_delta_from_program_start_mb,1277.38671875
cuda_mem_get_info_delta_from_after_model_load_mb,491.54296875
