field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.0434064865112305
single_sample_latency_ms,394.2403793334961
avg_latency_ms,71.53853908661873
p50_latency_ms,70.46592235565186
p95_latency_ms,70.87305784225464
total_inference_time_s,22.305027961730957
latency_s_per_iteration,0.07195170310235792
throughput_samples_per_s,13.898211673702955
throughput_from_latency_samples_per_s,13.978479470893332
avg_total_loss,0.04851399119342527
avg_pressure_loss,0.0049520738482955965
avg_vx_loss,0.010774988326574525
avg_vy_loss,0.01047874451464703
avg_vz_loss,0.009123631560754391
avg_power_w,15.860861111111111
median_power_w,16.052
peak_power_w,16.189
energy_j_total,348.0867347583769
energy_j_per_sample_est,1.134662832544653
energy_j_per_sample_from_total,1.1228604347044415
edp_j_s,0.08117212139612918
avg_gpu_util_pct,89.77777777777777
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,8.955246913580247
avg_ram_used_mb,3893.8611111111113
peak_ram_used_mb,3912.0
ram_total_mb,7620.0
max_temp_c,58.406
peak_gpu_mem_mb,85.892578125
predictions_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp16_autocast_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp16_autocast_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp16_autocast_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp16_autocast_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp16_autocast_r3/logs/tegrastats_perturb_full_fp16_autocast_r3.log
log_file,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp16_autocast_r3/logs/virso_inference_perturb_full_fp16_autocast_r3.log
Tegrastats_time_stamps_count,108
amp_mode,fp16
amp_resolved_dtype,torch.float16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,474.953125
cuda_mem_get_info_delta_from_program_start_mb,1276.2734375
cuda_mem_get_info_peak_used_mb,4150.69921875
