field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.066194772720337
single_sample_latency_ms,321.5298652648926
avg_latency_ms,65.42855924175632
p50_latency_ms,64.54706192016602
p95_latency_ms,65.0877594947815
total_inference_time_s,20.411386251449585
latency_s_per_iteration,0.06584318145628898
throughput_samples_per_s,15.187601477973319
throughput_from_latency_samples_per_s,15.283845641549798
avg_total_loss,0.04205924151465297
avg_pressure_loss,0.0047508788685644825
avg_vx_loss,0.008896482576646152
avg_vy_loss,0.008710527041506383
avg_vz_loss,0.00723476241372766
avg_power_w,17.218737373737376
median_power_w,17.42
peak_power_w,17.541
energy_j_total,346.2315128881934
energy_j_per_sample_est,1.1265971783258195
energy_j_per_sample_from_total,1.1168758480264303
edp_j_s,0.07371163022368639
avg_gpu_util_pct,91.87878787878788
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,8.383838383838384
avg_ram_used_mb,3728.2323232323233
peak_ram_used_mb,3752.0
ram_total_mb,7620.0
max_temp_c,57.375
peak_gpu_mem_mb,108.9375
predictions_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp32_r3/outputs/virso_predictions.npy
targets_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp32_r3/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp32_r3/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp32_r3/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp32_r3/logs/tegrastats_perturb_full_fp32_r3.log
log_file,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_fp32_r3/logs/virso_inference_perturb_full_fp32_r3.log
Tegrastats_time_stamps_count,99
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,349.421875
cuda_mem_get_info_delta_from_program_start_mb,1144.453125
cuda_mem_get_info_peak_used_mb,3994.24609375
