field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/sp2gno_final.pth
model_params,1661828
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.208942413330078
single_sample_latency_ms,323.76837730407715
avg_latency_ms,64.42481087100121
p50_latency_ms,63.54093551635742
p95_latency_ms,64.00682926177979
total_inference_time_s,20.098814964294434
latency_s_per_iteration,0.06483488698159495
throughput_samples_per_s,15.42379491282025
throughput_from_latency_samples_per_s,15.521970285676357
avg_total_loss,0.04369710427258284
avg_pressure_loss,0.004812160605985311
avg_vx_loss,0.009355634550053267
avg_vy_loss,0.009145881917567983
avg_vz_loss,0.007758178348622976
avg_power_w,17.09025773195876
median_power_w,17.298
peak_power_w,17.46
energy_j_total,336.621538051367
energy_j_per_sample_est,1.1010366221181094
energy_j_per_sample_from_total,1.085875929197958
edp_j_s,0.07093407614200523
avg_gpu_util_pct,92.50515463917526
peak_gpu_util_pct,99.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,8.47594501718213
avg_ram_used_mb,3746.3298969072166
peak_ram_used_mb,3762.0
ram_total_mb,7620.0
max_temp_c,58.0
peak_gpu_mem_mb,108.9375
predictions_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_tf32_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_tf32_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_tf32_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_tf32_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_tf32_r1/logs/tegrastats_perturb_full_tf32_r1.log
log_file,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_full_tf32_r1/logs/virso_inference_perturb_full_tf32_r1.log
Tegrastats_time_stamps_count,97
amp_mode,off
amp_resolved_dtype,None
collab_skip,1
cuda_matmul_allow_tf32,True
cuda_mem_get_info_delta_from_after_model_load_mb,354.5546875
cuda_mem_get_info_delta_from_program_start_mb,1146.23046875
cuda_mem_get_info_peak_used_mb,4005.1171875
