field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/best_model_2_layer.pth
model_params,256460
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.069103002548218
single_sample_latency_ms,213.61470222473145
avg_latency_ms,22.82917345723798
p50_latency_ms,22.152066230773926
p95_latency_ms,22.512197494506836
total_inference_time_s,7.173619031906128
latency_s_per_iteration,0.023140706554535897
throughput_samples_per_s,43.213892265704665
throughput_from_latency_samples_per_s,43.80360076868882
avg_total_loss,0.20656007885812752
avg_pressure_loss,0.018453852658069904
avg_vx_loss,0.05517756686575951
avg_vy_loss,0.05576834295305513
avg_vz_loss,0.04047415544909816
avg_power_w,13.961941176470587
median_power_w,14.327
peak_power_w,14.409
energy_j_total,94.48189233231543
energy_j_per_sample_est,0.31873957691740035
energy_j_per_sample_from_total,0.30478029784617877
edp_j_s,0.00727656108913398
avg_gpu_util_pct,73.47058823529412
peak_gpu_util_pct,92.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,10.254901960784313
avg_ram_used_mb,3947.8823529411766
peak_ram_used_mb,3961.0
ram_total_mb,7620.0
max_temp_c,51.437
peak_gpu_mem_mb,77.87744140625
predictions_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_bf16_r1/outputs/virso_predictions.npy
targets_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_bf16_r1/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_bf16_r1/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_bf16_r1/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_bf16_r1/logs/tegrastats_perturb_layer2_bf16_r1.log
log_file,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_bf16_r1/logs/virso_inference_perturb_layer2_bf16_r1.log
Tegrastats_time_stamps_count,34
amp_mode,bf16
amp_resolved_dtype,torch.bfloat16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,464.07421875
cuda_mem_get_info_delta_from_program_start_mb,1241.69921875
cuda_mem_get_info_peak_used_mb,4098.4453125
