field,value
run_ts,perturb_layer2_bf16_r1
run_dir,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_bf16_r1
report_dir,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_layer2_bf16_r1/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,5.069103002548218
single_sample_latency_ms,213.61470222473145
avg_latency_ms,22.82917345723798
p50_latency_ms,22.152066230773926
p95_latency_ms,22.512197494506836
total_inference_time_s,7.173619031906128
inference_start_wall_s,1788333504.5671506
inference_end_wall_s,1788333511.7407696
inference_elapsed_wall_s,7.173619031906128
latency_s_per_iteration,0.023140706554535897
avg_total_loss,0.20656007885812752
avg_pressure_loss,0.018453852658069904
avg_vx_loss,0.05517756686575951
avg_vy_loss,0.05576834295305513
avg_vz_loss,0.04047415544909816
peak_gpu_mem_mb,77.87744140625
cuda_peak_alloc_mb,77.87744140625
cuda_peak_reserved_mb,88.0
cuda_mem_get_info_peak_used_mb,4098.4453125
cuda_mem_get_info_delta_from_program_start_mb,1241.69921875
cuda_mem_get_info_delta_from_after_model_load_mb,464.07421875
