field,value
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
run_status,0
model_checkpoint,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/best_model_spectral.pth
model_params,1584782
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,64
num_nodes,3977
num_edges,134570
num_samples,310
input_dim,102
output_dim,4
dataset_build_time_s,5.2145586013793945
single_sample_latency_ms,255.35988807678223
avg_latency_ms,17.67050758484871
p50_latency_ms,16.86084270477295
p95_latency_ms,17.281603813171387
total_inference_time_s,5.569364070892334
latency_s_per_iteration,0.017965690551265595
throughput_samples_per_s,55.661651142574925
throughput_from_latency_samples_per_s,56.59147000720193
avg_total_loss,0.050699878064915535
avg_pressure_loss,0.005734730756751472
avg_vx_loss,0.01146003098918065
avg_vy_loss,0.011004457869116337
avg_vz_loss,0.008961465047492135
avg_power_w,10.370444444444445
median_power_w,10.485
peak_power_w,10.608
energy_j_total,55.26612384080886
energy_j_per_sample_est,0.18325101721380774
energy_j_per_sample_from_total,0.1782778188413189
edp_j_s,0.003238138489607831
avg_gpu_util_pct,32.51851851851852
peak_gpu_util_pct,36.0
avg_gpu_freq_mhz,
avg_cpu_util_pct,17.364197530864196
avg_ram_used_mb,3765.4814814814813
peak_ram_used_mb,3788.0
ram_total_mb,7620.0
max_temp_c,49.718
peak_gpu_mem_mb,27.16259765625
predictions_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_spectral_fp16_autocast_r2/outputs/virso_predictions.npy
targets_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_spectral_fp16_autocast_r2/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_spectral_fp16_autocast_r2/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_spectral_fp16_autocast_r2/outputs/virso_single_gold.npy
monitor_cmd,tegrastats
monitor_log,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_spectral_fp16_autocast_r2/logs/tegrastats_perturb_spectral_fp16_autocast_r2.log
log_file,/home/jetson/jjyoo3/First_Jetson_Benchmark/VirSO/For_Jetson/For_Jetson/inference_runs/perturb_regen_20260902_145457/perturb_spectral_fp16_autocast_r2/logs/virso_inference_perturb_spectral_fp16_autocast_r2.log
Tegrastats_time_stamps_count,27
amp_mode,fp16
amp_resolved_dtype,torch.float16
collab_skip,1
cuda_matmul_allow_tf32,False
cuda_mem_get_info_delta_from_after_model_load_mb,358.5
cuda_mem_get_info_delta_from_program_start_mb,1128.88671875
cuda_mem_get_info_peak_used_mb,4016.63671875
