field,value
run_ts,prec_layer2_fp16_autocast
run_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_fp16_autocast
report_dir,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_fp16_autocast/reports
device,cuda
gpu_name,Orin
torch_version,2.5.0a0+872d972e41.nv24.08
cuda_version,12.6
model_checkpoint,/home/jetson/VirSO/best_model_2_layer.pth
model_checkpoint_name,best_model_2_layer.pth
model_params,256460
num_edges,134570
profiled_flops_per_sample,
analytic_flops_per_sample,
macs_per_sample,
graph_type,knn
k,30
r,0.001
k_lower,45
start_radius,0.0005
factor_of_lower,1
dataset_largest_mode,150
model_max_mode,40
num_nodes,3977
num_samples,310
input_dim,102
output_dim,4
num_layers,2
width,48
max_mode,40
k_neighbors,30
embed,1
spectral,1
spatial,1
collab_skip,1
spectral_skip,1
dataset_build_time_s,6.237823009490967
single_sample_latency_ms,431.7183494567871
avg_latency_ms,26.007060081728042
p50_latency_ms,22.97055721282959
p95_latency_ms,31.43264055252076
total_inference_time_s,8.185864448547363
inference_start_wall_s,1781307594.9397402
inference_end_wall_s,1781307603.1256046
inference_elapsed_wall_s,8.185864448547363
latency_s_per_iteration,0.026406014350152784
avg_total_loss,0.10075974014677828
avg_pressure_loss,0.013765919572042842
avg_vx_loss,0.021081486158072947
avg_vy_loss,0.022292183754184555
avg_vz_loss,0.01806101427083054
peak_gpu_mem_mb,77.927734375
cuda_peak_alloc_mb,77.927734375
cuda_peak_reserved_mb,108.0
cuda_mem_get_info_peak_used_mb,4652.29296875
cuda_mem_get_info_delta_from_program_start_mb,1261.53125
cuda_mem_get_info_delta_from_after_model_load_mb,495.65234375
cuda_mem_snapshots_json,"[{""tag"": ""program_start"", ""alloc_mb"": 0.0, ""reserved_mb"": 0.0, ""max_alloc_mb"": 0.0, ""max_reserved_mb"": 0.0, ""mem_get_info_free_mb"": 4229.12109375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3390.76171875}, {""tag"": ""after_normalizers"", ""alloc_mb"": 0.0009765625, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.0009765625, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3979.0078125, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 3640.875}, {""tag"": ""after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3463.2421875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4156.640625}, {""tag"": ""before_peak_reset_after_model_load"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3462.99609375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4156.88671875}, {""tag"": ""after_peak_reset_before_inference"", ""alloc_mb"": 0.99169921875, ""reserved_mb"": 2.0, ""max_alloc_mb"": 0.99169921875, ""max_reserved_mb"": 2.0, ""mem_get_info_free_mb"": 3462.99609375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4156.88671875}, {""tag"": ""after_first_sample_before_delete"", ""alloc_mb"": 16.07275390625, ""reserved_mb"": 108.0, ""max_alloc_mb"": 77.927734375, ""max_reserved_mb"": 108.0, ""mem_get_info_free_mb"": 3006.171875, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4613.7109375}, {""tag"": ""after_timed_loop"", ""alloc_mb"": 9.11767578125, ""reserved_mb"": 108.0, ""max_alloc_mb"": 77.927734375, ""max_reserved_mb"": 108.0, ""mem_get_info_free_mb"": 2967.58984375, ""mem_get_info_total_mb"": 7619.8828125, ""mem_get_info_used_mb"": 4652.29296875}]"
predictions_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_fp16_autocast/outputs/virso_predictions.npy
targets_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_fp16_autocast/outputs/virso_targets.npy
predictions_shape,"(310, 3977, 4)"
targets_shape,"(310, 3977, 4)"
dry_prediction_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_fp16_autocast/outputs/virso_single_pred.npy
dry_target_path,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_fp16_autocast/outputs/virso_single_gold.npy
monitor_cmd,none
monitor_log,
log_file,/home/jetson/VirSO/For_Jetson/For_Jetson/inference_runs/prec_layer2_fp16_autocast/logs/virso_inference_prec_layer2_fp16_autocast.log
amp_mode,fp16
amp_resolved_dtype,torch.float16
tf32_mode,strict
cuda_matmul_allow_tf32,False
cudnn_allow_tf32,False
float32_matmul_precision,highest
